"","lyrics","title","artist","sentiment"
"11","ल हेह चोक डो
सा ा हेह लगा धो
पुग्द ् प क् हे
भ ल्ट बोब ढाटी
बग्य खो बेस घ स्ै
ि् ा कज ट्ै
आँखै  गाजल ल
भ ा दिउँ क 
बैस बैस ् प क्े
ा चोल पाखु टिीक्कौ
बस्य ा अाख झििक्कै
क ् क्कल बाि
प्ख ि ोइह पाि
बैस बैस ् प क्े","लेकाली","Nepathya","हर्ष"
"12","ि् आगक आभाषा  ी
धे धे गी गाएँ
बुझा देउ य बह दि ा िी
 
दुलह झ सजि बस िी
बाा  लि आेु
स्वय्बक  पहिाई
अङ्गा ला् िी
 
ओइला देउ ह यौव
 पाइदै य जीव
अल्ल  इ हाी
स्च लि बस िी
 
ि् आगक आभाषा  ी
धे धे गी गाएँ
बुझा देउ य बह दि ा िी","तिम्रो आगमनको","Nepathya","प्रेम"
"13","च ्य शिशैक गोलि
ा बस्य ्य ीठ बोली
ा  उडाय ेलै
 
ालक ाा  ग् सक्दै
जा सा ा दै
ा  उडाय ेलै
 
ि् ा  कस खाँदै
ि बि  बाँच् सक्दि
ा  उडाय ेलै","उडायो रेलैले","Nepathya","प्रेम"
"14","प्ख बस आ भि
े उठ पालो
े उठ पालो

कु्दा कु्द जि्दग ै
भ  लो..लो
भ  लो
े उठ पालो

 पा अँध्  आँखा खोल हे्दा
अँध्  ि्  आँखा चि्ल हे्दा

 पा अँध्  आँखा खोल हे्दा
अँध्  ि्  आँखा चि्ल हे्दा

आफ् ाँ आफ  भाग हिँड् ठाल्
भाग हिँड् ठाल्
आफ् ाँ आफ बोझ लाग् ठाल्य ठाल्
बोझ लाग् ठाल्
बोझ लाग् ठाल्

ा हाँ बहिदि् ुट पोल् ी
िाशाक दिय बल् ि जल् ी
ा हाँ बहिदि् ुट पोल् ी
िाशाक दिय बल् ि जल् ी

व्ष भय चक   भि् य आँधी
 भि् य आँधी
बाँध् बाँच् प्य चाह बाँध बाँधी
चाह बाँधी
चाह बाँधी

प्ख बस आ भि
े उठ पालो
े उठ पालो","Parkhi Basen","Narayan Gopal","दुःखी"
"15","ा्ेक ा 
खोलाक पा 
ाा ो भाग्े
लहेक बा 

ा्ेक ा 
आँखाक ा 
य ा फ आे
सु्द विहा 
ा  वक आवेश ा्  
ि्खाक अ्क ा्  भेष ा्  
 भेष ा्  
ि् हेा बल आँखा  ुट ै
ि् बो स्व  ढुकढक ह ै
ा्ेक ा 
खोलाक पा 
ाा ो भाग्े
लहेक बा 

ाक विशाला य आश ध्  
ा  साँच्च सु्द ाक ु्  
सु्द ाक ु्  
ि पा आ दि शिस 
ि हा सद्भाव दि शिस 
ा्ेक ा  आँखाक ा 
ा्ेक ा  खोलाक पा 
य ा फ आ सु्द विहा 
ाा ो भाग् लहेक बा ","Manchhe Ko Maya Yahan","Narayan Gopal","प्रेम"
"16","झेक पा झैँ भय उजाड े जि्दगी
िभेक दिप झैँ भय उदास े जि्दगी
झेक पा झैँ भय उजाड े जि्दगी

चुा फुटेस भय चा उडी
चुा फुटेस भय चा उडी
हजा पि ुस्उँद झे
उठेक बस् झैँ भय प्स े जि्दगी

विहा ह्ष  थिय ज साँझ भैसक्
विहा ह्ष  थिय ज साँझ भैसक्
भिक पा पा िशादक कथा 
अधेँ ा झैँ भय विषाद े जि्दगी

जलिहे  भि् भि् कहिँ ाीा
जलिहे  भि् भि् कहिँ ाीा
टुटेफुटे स्वप् झैँ अँगाा् ाीा
जिव बज स भय उाठ े जि्दगी
िभेक दिप झैँ भय उदास े जि्दगी
झेक पा झैँ भय उजाड े जि्दगी","Jhareko Paat","Narayan Gopal","दुःखी"
"17","ज्े ख ज्े ख 
हु्क् ख 
भाग्यक खा 
भाव क खिदि
ज्े ख 
हु्क् ख 
भाग्यक खा 
भाव क खिदि
ज्े ख 

कस् ोडेक कस् ास 
जि्दगीक अौठ ाा
क ह आफ् क ह विाो
क  य गक ाा
क  य गक ाा
ज्े ख 
हु्क् ख 
भाग्यक खा 
भाव क खिदि
ज्े ख 

खोज हिँड्द आाक ् ख
ाल हा 
भाग्य सब  पुग् 
संसा विध खे
संसा विध खे
ज्े ख 
हु्क् ख 
भाग्यक खा 
भाव क खिदि
ज्े ख 

कस् पि य सय दिो
भुदे सय दि
भुक सप झस्उँ दि
िए ्य घाउ दि
िए ्य घाउ दि
ज्े ख 
हु्क् ख 
भाग्यक खा 
भाव क खिदि","Janmera Kokhma","Narayan Gopal","दुःखी"
"18","्दि  क ु् ा
्दि  क ु् ा
प्थ  क धुल ा
ह  ा ह  बा
ख   
  ा
ख   
  ा
्दि  क ु् ा

 अ्जुल ाक लािग
पलपल हृदय च्क्
 अ्जुल ाक लािग
पलपल हृदय च्क्
सा  भद ब आँखा
सा  भद ब आँखा
ब्ष ब्ष बस््
ब्ष ब्ष बस््

हाँस  क आँश ा
फुल  क ँडा ा
ह  ा ह  बा
ख   
  ा
ख   
  ा
्दि  क ु् ा

एउट आ जिउँद जल्े
ोाक ााा
एउट आ जिउँद जल्े
ोाक ााा
एउटा ो े बाँच्
एउटा ो े बाँच्
आाक सप विपाा
आाक सप विपाा
ग  क ाा ा
विस्स  क बाचा ा
ह  ा ह  बा
ख   
  ा
ख   
  ा
्दि  क ु् ा","Mandir Ma Chha Ki Murti Ma Maya","Narayan Gopal","दुःखी"
"19","श्द्धाक फूल चढा दि आ लाशा 
पा फूल भैगय ि ोइ दि आशा 
स्झ्  ि ो कल हा 
ाल ाख ा य े हा ला 
दि सब गुहा हा् ेल ा 
पा फूल भ गय ि ोइ दि आशा 
े क भ देह य े आ्  ्दै 
पि चोख ला  ब्ध प्दै 
प्कृ फूल ओइल झ् दिलक झ्दै 
पा फूल भ गय ि ोइ दि आशा 
श्द्धाक फूल चढा दि आ लाशा","Shradhdha ko phool","Narayan Gopal","दुःखी"
"20","झ्य जि्दग फुट्य जि्दगी
ल् आँखा बल्य जि्दगी
झ् य जि्दग फुट्य जि्दगी
ल् आँखा बल्य जि्दगी
झ्य जि्दग फुट्य जि्दगी
ँडा हाँसेक िठ जि्दगी
सप ाचेक झुट जि्दगी
ँडा हाँसेक िठ जि्दगी
सप ाचेक झुट जि्दगी
गहाक दह डुब्य जि्दगी
झ्य जि्दग फुट्य जि्दगी
पि ेक खाल जि्दगी
विह ु प् जि्दगी
पि ेक खाल जि्दगी
विह ु प् जि्दगी
आज आफ् ा दुख्य जि्दगी
झ्य जि्दग फुट्य जि्दगी
ल् आँखा बल्य जि्दगी
झ्य जि्दग फुट्य जि्दगी","Jharyo Jindagi","Narayan Gopal","दुःखी"
"21","(य धे ा दीइ
 भ दुख देउ) २
 व प फुल्े
प टिप सि लाउ
य धे ा दीइ
 
(ज भाज्ञ्य िा
सुख दुख स्वि्) २
ह िा पल
ह िठा पल
सब सब स्वि्
 हा प्सस् 
भ सा््व  देउ
य धे ा दीइ
 
(य  क ँडा
क फुल टिप हिँडे) २
क पा आफ् े
क आफ् पा भेटे
य जि्दगीक ोडा
भ साहा  देउ
 
(य धे ा दीइ
 भ दुख देउ) २
 व प फुल्े
प टिप सि लाउ
य धे ा दीइ","यती धेरै माया","Narayan Gopal","हर्ष"
"22","अल्झे क् प्यौ ि् चिक बुटाा
बल्झे क् सिलक ँडा कलिल खुट्टाा
अल्झे क् प्यौ ि् चिक बुटाा
 
आउँथ्य क चेल भ आ दो धा की
ीज प बि्सि क् िब ाईी
सल् झैं आा... सुसा हि् ्ल ठाा
अल्झे क् प्यौ ि् चिक बुटाा
 
ो आषिस थाप् पाई अ्ि लैा
भ्थे बाबा आँश झा टिक थालीा
्यह आँश टि... पठाईदिँ क सालक पाा
अल्झे क् प्यौ ि् चिक बुटाा
 
भ्थे दा भाईटि बहि फ्ला
क्षििज जस् िधा हा् इ्द्ेण ल्ला
दिभ ग... का ह्य बेलक ठुटाा
 
अल्झे क् प्यौ ि् चिक बुटाा
बल्झे क् सिलक ँडा कलिल खुट्टाा
अल्झे क् प्यौ ि् चिक बुटाा","अल्झेछ क्यारे पछ्यौरी","Narayan Gopal","दुःखी"
"23","(आँखा ोप ोउ भ भ्ुप्‍
ुटुाथ ढुंगा ाख हाँस्ुप्‍ ) x2
 
(भोल उठ   ह थाहा ै
फ्क आ ह क ई ह थाहा ै) x2
चा िट आउ भ ्ुप्‍
ुटुाथ ढुंगा ाख हाँस्ुप्‍
 
(ाीभ गाँउ-बेश पखेीक ाँ
आखाँभ ेलापा ालुक ा) x2
आफ ाड क ुप्‍
ुटुाथ ढुंगा ाख हाँस्ुप्‍
 
(भ्  क थिय ा भि् ह्
पेली  आँश झ ह्) x2
कुलचि आफ हिड्ुप्‍
ुटुाथ ढुंगा ाख हाँस्ुप्‍","आँखा छोपी नरोउ भनी","Narayan Gopal","दुःखी"
"24","(जू फूल  चाहेक ँ कस टिपे
सौ्द्य ब ्य सध े आँखा लु) २
 
(सुख  दुख ाल दि जीव ्य ) २
दि ा    टाढा भ गैदि
बिा ब प््येक पल े य ्य्ट धड््
बिे ि पुा कुक् स्झा ड्पि्
 
(बाँच  ह्य बल चाह ुट चोट पाी) २
्य े थिय स्ेहक दिय क हिी
च्क ा डिदि फे बस्  क  
 ह बिह ब्यथा भ्  क  
जू फूल  चाहेक ँ....","जुन फुल मैले","Narayan Gopal","दुःखी"
"25","  लालिगुाँस ु
ब भ फूल दि्ु
 भ फूल दि्ु
 
फाँटह कस् पुग्, भि पि﻿ फूल दि्ु
ह्ष  ा्  हु्, पि प फूल दि्ु
 
  लाल गुाँस ु
ब भ फूल दि्ु
 भ फूल दि्ु
 
हे दि ह भै, ा भि् फूल दि्ु
लाइ दि ह भै, सिउद भ फूल दि्ु
 
  लाल गुाँस ु
ब भ फूल दि्ु
 भ फूल दि्ु","म त लालि गुराँस भएछु","Narayan Gopal","हर्ष"
"26"," पुण्य पाएँ,  पाप पाएँ
ज स्  िी, चुपचाप पाएँ
 
 फुल  ँडा दुइटा,  ा सक्
 दागक ंग पि, टि सा सक्
ध  बदा,  श्ाप  पाएँ
ज स्  िी, चुपचाप पाएँ
 
िी लिुप , ि दिुप 
हा् हिसाब ाबा, सच् प 
य हिसाब भु िी, बेहिसाब पाएँ
ज स्  िी, चुपचाप पाएँ
ज स्  िी, चुपचाप पाएँ","मैले पुण्य मन पराएँ","Narayan Gopal","प्रेम"
"27"," ाफ िदेउ ेा लोभ ज
 कस डुबे भे
  खोजीहे हेक चेहेाा
े सपाक  प्ि ालु
 
उ आँउ ं  िदा बेला
अ बस् े ाीा
उ साट् ं ेा पिहुसि
उस िठा िठा भा
 ाफ िदेउ े प्ेक 
कह कस बिझे भे
  खोजीहे हेक चेहेाा
े सपाक  प्ि ालु
 
उसक आँखा   े ोदीघ 
उसक ा े बास 
उसक आँश ब्षा उसक सुस्ा शिशी
उसक ुस् े धुास
 ाफ िदेउ  ृगृष्णा
 कस े भे
  खोजीहे हेक चेहेाा
े सपाक  प्ि ालु","मलाई माफ गरिदेउ","Narayan Gopal","प्रेम"
"28","े गी े प्िवि्व है
ज टूट  है ज टूट  है
आश जस् अ गी ेा
 जस् दुइ दिक पाहु है
 
ह गुगुाउ धे शा् पाउँु
्यह शा् बाँड्  गी सुाउु
 ल्उ साग अ्जुल पाी
  बु्द सबक प्स ेट् खोज्ु
सब िझा े ी है
ि सु्द गी ् है
आश जस् अ गी ेा
 जस् दुइ दिक पाहु है
 
गी चो ल्एँ सा
आशक िल गहिाइ
सु हे सब गीक ुहा 
 जिउंद सास फे् जहिह हा 
े गी भ् ा ै
गीक प  हुं े गी है
आश जस् अ गी ेा
 जस् दुइ दिक पाहु है
े गी े प्िवि्व है","मेरो गीत मेरै प्रतिविम्व हैन","Narayan Gopal","दुःखी"
"29","प्िी द ि ुटु
ा् आज  फु हेें
पिी घा ि ुटु
सि दु आँखा सु हेें
प्िी दहु
 
जीव  जा अंगाक कथा 
 ुट ैि भंगाक व्यथा 
आफ् पाइ आफ्  ाक था 
प्िी दहु
 
स्झा ाँ ा भ धुं 
ि्खा पा ेटि कुं 
स खोज्द उड हिड् सिलक भु 
प्िी द ि ुटु
ा् आज  फु हेें
प्िी दहु","प्रियसीका यादहरु","Narayan Gopal","दुःखी"
"30","ँ   हाँस ि ुई,
आज साा खुस  दि  ु
ि्ा पिह  ह ेटिएला,
ीक लाग    ु
ँ   हाँस ि ुई,
आज साा खुस  दि  ु
 
 े भाग्य ि पाे,
 े भाग्य ि पाे,
 बाँचु्ल  घा ् ै
ि हाँसिदे य आँट  लिए
दि  ि्  ोड् ै
ँ   हाँस ि ुई,
आज साा खुस  दि  ु
 
 े हक  ि टिठ्े,
 े हक  ि टिठ्े,
 ृ्युस् गलह्् ै
ि बाँचिदेउ ि  
अ धे  ह चाहिँदै
 
ँ   हाँस ि ुई,
आज साा खुस  दि  ु
ि्ा पिह  ह ेटिएला,
ीक लाग    ु
ँ   हाँस ि ुई,
आज साा खुस  दि  ु","सधै नै म हासे","Narayan Gopal","प्रेम"
"31","श्द्धाक फूल चढा दि आ लाशा
पा फूल भ गय ि ोइ दि आशा
स्झ्  ि ो कल हा
ाल ाख ा य े हा ला
दि सब गुहा हा् ेल ा
पा फूल भ गय ि ोइ दि आशा
े क भ देह य े आ्  ्दै
पि चोख ला  ब्ध प्दै
प्कृ फूल ओइल झ् दिलक झ्दै
पा फूल भ गय ि ोइ दि आशा
श्द्धाक फूल चढा दि आ लाशा","श्रद्धाको फूल","Narayan Gopal","दुःखी"
"32","य चोख य िठ दि िीलाइ ा
बि्स ् साा पुा प्े कथा.
य चोख य िठ दि िीलाइ ा
बि्स ् साा पुा प्े कथा.
 
े साा जिव सबॆ िी
िठा-िठा क्ष सबॆ िी.
े साा जिव सबॆ िी
िठा िठा क्ष सबॆ िी.
े खुश े सुख सबॆ सबॆ िी.
 
य चोखो...
 
आखा भि् बस् ि ा िदाु
सप प लाइ सुस् चिहाु.
आखा भि् बस् ि ा िदाु
सप प लाइ सुस् चिहाु.
सधॆ सधॆ ि े ा ब आ आु.
 
य चोख य िठ दि िीलाइ ा
बि्स ् साा पुा प्े कथा.","यती चोखो यती मिठो","Narayan Gopal","प्रेम"
"33","े गी े प्िवि्व है 
ज टूट  है ज टूट  है 
आश जस् अ गी ेा 
 जस् दुइ दिक पाहु है 

ह गुगुाउ धे शा् पाउँु 
्यह शा् बाँड्  गी सुाउु 
 ल्उ साग अ्जुल पाी 
  बु्द सबक प्स ेट् खोज्ु 
सब िझा े ी है 
ि सु्द गी ् है 
आश जस् अ गी ेा 
 जस् दुइ दिक पाहु है 

गी चो ल्एँ सा 
आशक िल गहिाइ 
सु हे सब गीक ुहा  
 जिउंद सास फे् जहिह हा  
े गी भ् ा ै 
गीक प  हुं े गी है 
आश जस् अ गी ेा 
 जस् दुइ दिक पाहु है 
े गी े प्िवि्व है","Mero geet mero pratibimba","Narayan Gopal","दुःखी"
"34","गाउँ गी ेपाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
जय जय जय ेपाल सु्द शा् बिशाल
सु्द शा् बिशाल
गाउँ गी ेपाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
जय जय जय ेपाल सु्द शा् बिशाल
सु्द शा् बिशाल
गण्डक स क्णाल ेच  हाली
क  बेस बिउझाउँ लह लाखौँ उचाली
हिालचुल बोलाउँ पहिल झुल् िली
ा शिख पुग्द पह ेपाली
सीा साा भिजाइ दक्षिण लं भा
भृकुट ाा उदाइ उ् ची िब्ब
बुद्ध यहीँ पाएथ ज्ञाक पहिल ुहा
शिव यहीँ ल्एथ सृस्टीक पहिल बिहा
गाउँ गी ेपाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
जय जय जय ेपाल सु्द शा् बिशाल
सु्द शा् बिशाल
पश्चि ल् ँगडा  टिस्टा पुगेथ्यौँ
कु शक्िक सा कह हा झुथ्यौँ
हा हिाल उठायौँ एसिक ाझा
सभ् बास बसेथ्य आ यहीँ साँझा
यह ेपाल ाट दिलक फूल ोपे
यह पहाड शि प्ीक गी खोपे
बाँचौ हा ेपाल च्द्  सु्य ध्वोजा लिई
ाँचौ हा हिाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
जय जय जय ेपाल सु्द शा् बिशाल
सु्द शा् बिशाल
गाउँ गी ेपाल ज्िक पंख उचाली
गाउँ गी ेपाल ज्िक पंख उचाली
जय जय जय ेपाल सु्द शा् बिशाल
सु्द शा् बिशाल
सु्द शा् बिशाल
सु्द शा् बिशाल
सु्द शा् बिशाल","GAUCHA GEET NEPALI","Mongolian Heart","देश्भक्ती"
"35","वैंश दा धे सङ ा ्
वैंश दा धे सङ ा ्
धे धे कस प खाई् क क दिल प ोडि्
अं  एउट सङ लग डि्
अं  एउट सङ लग डि्।
प्ी ला ि  कस् कस् 
ा ला भ् प धे सस् 
प्ी ला ि  कस् कस् 
ा ला भ् प धे सस् 
 िल उा बिोड हु्
एउट हाँस् अ्क चाह ु्
एउट हाँस् अ्क चाह ु्
वैंश दा धे सङ ा ्
े प एउट सङ लग जुड ला
े  क सुख दुख िल बाड ला
े प एउट सङ लग जुड ला
े  क सुख दुख िल बाड ला
जिव ोज् साह्   दि् भ् प धे गाह् 
 दि् भ् प धे गाह् 
वैंश दा धे सङ ा ्
वैंश दा धे सङ ा ्
धे धे कस प खाई् क क दिल प ोडि्
अं  एउट सङ लग डि्
अं  एउट सङ लग डि्…","Bainsha Chhada","Mongolian Heart","प्रेम"
"36","ख गुाँस फुल्य ी
आँखा  ि  बस्य ि
ख गुाँस फुल्य ी
आँखा  ि  बस्य ि
उस् उस् क ोग लाग्य  ि ुदा  जल् 
ेा सब सप िी  आफ् भ्े
उस् उस् क ोग लाग्य  ि ुदा  जल् 
ेा सब सप िी  आफ् भ्े
ख गुाँस फुल्य  आँखा  ि  बस्य ी
फु फुल   उ ाख देउ
 सङ   जिस्  ाडीदेउ
े  क गहाई  ि  अडे
 सङ   जिस्  ाडीदेउ
े  क गहाई  ि  अडे
सध सध  ह् ि् झझल्
ख गुाँस फुल्य  आँखा  ि  बस्य ि
ौलाख ाा स उज्ल   ीदेउ
ि टाढा भय प ुटु   ाखिदेउ
ौलाख ाा स उज्ल   ीदेउ
ि टाढा भय प ुटु   ाखिदेउ
ब आउ क  ि पोखाउु
ि् े  क दु ा घटाउु
उस् उस् क ोग लाग्य ी
ि ुदा  जल् 
ेा सब सपा
िी   आफ् भ्े
ख गुाँस फुल्य  आँखा  ि  बस्य ी","Lekha Ma Gurasai Fulyo","Mongolian Heart","प्रेम"
"37","ि  भुल् सक्दि
 जाउँ ि् द आईह्
य खोला, य ाला, य पहाड-भ्ज्ङ्ग  बोलाइह्
ि  भुल् सक्दि
 जाउँ ि् द आईह्
य खोला, य ाला, य पहाड-भ्ज्ङ्ग  बोलाइह्

े ेपाल े ेपाल े ेपाल
े देश  लाग् प्ो
े देश  लाग् प्ो

डाँडाँडा हिल  आँग भि
लालिगुाँस, चाँप, चेल फुल् थीथी
खोला, ाला, झाक िठ सुसेली
आईह् य  झलझली
आईह् य  झलझली

े ेपाल े ेपाल े ेपाल
े देश  लाग् प्ो
े देश  लाग् प्ो

ा शि ब  उभि 
कौडौँ ुटुाझ ि सजि 
वि, ाहा्ा, बुद्ध ज्ि देश
 प् प् लाग् आफ् स्वदेश
 प्ा लाग् आफ् स्वदेश
े ेपाल े ेपाल े ेपाल
े देश  लाग् प्ो
े देश  लाग् प्ो

ि  भुल् सक्दि
 जाउँ ि् द आईह्
य खोला, य ाला, य पहाड-भ्ज्ङ्ग  बोलाइह्

े ेपाल े ेपाल े ेपाल
े देश  लाग् प्ो
े देश  लाग् प्ो
े देश  लाग् प्ो”
","Mero Nepal","Mongolian Heart","देश्भक्ती"
"38","(गाजल टी देउ िी
 आ  कु बसिदेउ िी
 सङ सङ ल लु आु
  भये  सब  सुाु
लाज  ज खो झ  फ्एला
गाजल टी देउ िी
 आ  कु बसिदेउ िी
लु ा् हे  बुझा ठाउ हु्् ाक   े
लु ा् हे  बुझा ठाउ हु्् ाक   े
आफ्  आफ्   गाठ पा ाखिदिये
आँख क भाख बुझ ब आउ  क  चाड पोखाउ
ि् े  क दु ा घटाउ
चौब्द चोल देउ ि  आ  कु बस देउ िी
 प सपी   ेक ई
ुट  ि  भये
 प सपी   ेक ई
ुट  ि  भये
यह ठाउ यह गाउ यह फुल दो 
ाक साक्ष भये
ब आउ  क  िी  पोखाउु
ि् े  क दु ा घटाउु
ल श भ लाल गुासँ देउ िी
 आ  हे बस देउ िी
 सङ सङ ल लु आु
  भये  सब  सुाु
लाज ज खो झ  फ्एला
गाजल टी देउ िी
 आ  कु बस देउ िी…)","Gajalu Tika","Mongolian Heart","प्रेम"
