,words,sentiments,word
93,जिउंदो,देश्भक्ती,aboriginal
94,रगत,देश्भक्ती,blood
95,सरी,,surrey
96,वल्दो,,valdo
97,शान,देश्भक्ती,scintillation
98,झुकेन,देश्भक्ती,meek
,,,#VALUE!
100,लत्रेन,देश्भक्ती,latrena
,,,#VALUE!
102,जन्मदै,हर्श,benoni
103,जगतमा,देश्भक्ती,the universe
,,,#VALUE!
105,प्रहार,देश्भक्ती,strike
,,,#VALUE!
107,साम्राज्य,देश्भक्ती,empire
,,,#VALUE!
109,हारे,देश्भक्ती,losses
,हारे,दुखी,losses
,हारे,प्रेम,losses
110,हारेन,देश्भक्ती,weakened
,हारेन,हर्श,weakened
111,श्री,,mr.
112,जब,,when
113,सम्म,,up
114,आकाशमा,,the sky
115,रहन्छन,,the earth
,,,#VALUE!
,,,#VALUE!
118,गाई,देश्भक्ती,cow
119,सारी,,all
,,,#VALUE!
121,साधु,,monk
,,,#VALUE!
,,,#VALUE!
124,सबको,,all
125,शरण,देश्भक्ती,shelter
126,बलियो,प्रेम,strong
127,टाढा,प्रेम,from
,टाढा,दुखी,from
128,धेरै,,more
129,उडेका,,unified
130,रंगीन,प्रेम,colored
131,चरा,,bird
132,धर्तिमा,देश्भक्ती,dhartima
133,फिर्लान्,,phirlan
134,आकाशको,,rainwater
135,कालो,दुखी,black
136,मैलो,दुखी,mallow
137,हटि,,hati
138,घाम,हर्श,heat
139,जुन,हर्श,the
140,खुल्लान्,,khullan
141,संघारमा,,the threshold of
142,कमजोर,दुखी,weak
,कमजोर,प्रेम,weak
143,आमाको,प्रेम,mother
144,छाया,दुखी,shadow
,छाया,प्रेम,shadow
145,हुरी,दुखी,wind
146,चलेको,,run
147,आवेगमा,दुखी,flurry
148,यस्तो,,this
149,लाग्छ,,think
150,घरसंसार,प्रेम,my home
151,जलिरहेछ,दुखी,jalirahecha
152,संवेगमा,दुखी,fear
153,आज,,today
154,हामी,,we are
155,माझ,,among
156,बल्झेका,,.charlize
157,पिर,दुखी,tapping
158,सारा,प्रेम,all
159,विलाई,दुखी,villi
160,झर्लान्,,jharlan
161,ओठमा,प्रेम,lips
162,चम्के,,glory
163,मुस्कान,प्रेम,smile
164,भर्लान्,,bharlan
165,यात्रामा,प्रेम,tour
,यात्रामा,दुखी,tour
166,बाटो,दुखी,way
,बाटो,प्रेम,way
,बाटो,देश्भक्ती,way
167,पहिल्याउँदै,,pass
168,यात्रि,,passengers
169,एकदिन,दुखी,one day
170,पुग्छन्,,reaches
171,मुलबाटोमा,,highway
172,घरलाई,,house
173,पिर्ने,,pirne
174,बाधा,दुखी,interruption
175,अड्चन,दुखी,obstacle
176,मन्छाई,,manchai
177,दिउँला,,your mind
178,दोबाटोमा,,crossroads
179,गाढा,दुखी,dark
180,युगौँको,,ponder
181,भाइचारा,प्रेम,brotherhood
182,तोडेर,,breaking
183,तोडिन्न,,todinna
184,एकदम,,too
185,पहाडमा,देश्भक्ती,mountain
186,मधेश,देश्भक्ती,madhes
187,धुन,,fad
188,अनेक,,many
189,नाचौँ,हर्श,nacaum
190,मिलेर,,together
191,छमछम,हर्श,chamachama
192,आगनै,,aganai
193,भरी,,full
194,हिउँ,,snow
195,झरे,,down
196,आरु,,aarau
197,फूल,हर्श,flower
,फूल,प्रेम,flower
198,,,#VALUE!
199,टिपी,,pickers
200,राखे,,put
201,लेकैमा,,lekaima
202,बैसमा,,baisama
203,फूले,,bloated
204,मायाको,प्रेम,love
205,मुस्कानमा,प्रेम,smile
206,सम्झिदेउ,प्रेम,samjhideu
207,सुम्पिदेउ,प्रेम,sumpideu
208,जोवन,,jovan
209,हामीलाई,,us
210,खोला,देश्भक्ती,opened
211,नाला,देश्भक्ती,stream
212,सुसाई,,sushi
213,दिन्छन,,oppression
214,सरगमहरुमा,देश्भक्ती,saragamaharuma
215,,,#VALUE!
216,चाँदनी,हर्श,moonlight
,चाँदनी,प्रेम,moonlight
217,रातमा,दुखी,night
,रातमा,प्रेम,night
218,पर्खि,,wind
219,बसे,,sat
220,जीवन,,life
221,,,#VALUE!
222,आउँला,,arrive
223,बादलु,,cloudy
224,,,#VALUE!
225,त्यो,,the
226,रमाइलो,हर्श,fun
227,गाँवैमा,,home country
228,मेरा,,my
230,रातहरु,,nights
231,यादमा,प्रेम,remember
,,दुखी,#VALUE!
232,बितिरहेछ,दुखी,sighing
233,भावनामा,प्रेम,emotions
,भावनामा,दुखी ,emotions
234,प्रेमलाई,प्रेम,love
235,सजाइ,,caring
,,,#VALUE!
237,अभावै,,we tend to
238,भयो,,was
239,तिमीबिना,दुखी,without you
240,अभाव,दुखी,shortage
241,मनको,प्रेम,heart
,मनको,दुखी,heart
,मनको,हर्श ,heart
242,ब्यथा,दुखी,koshish
243,कसलाई,,who
244,पोखुँ,,pokhum
246,जाउँ,,go up
247,सुनाउँ,,share a
248,कहानी,,story
249,,,#VALUE!
250,,,#VALUE!
251,भर,,fill
252,जागि,,stay
253,रहें,,stay
254,सम्झदैं,,of becoming
255,,,#VALUE!
256,दिनहरु,,days
257,कल्पनामा,प्रेम,imagination
258,डुबि,प्रेम,tarried
,डुबि,दुखी ,tarried
259,रहँदा,,while
260,थाहै,,know
261,नपाई,,metering
262,निदाँएछु,,nidamechu
263,मिर्मिरेमै,प्रेम,mirmiremai
,,दुखी ,#VALUE!
264,बिउँझिएछु,,biumjhiechu
265,तिम्रो,,your
266,नाम,,name
267,लिएर,,with
268,बिन्ति,दुखी,petition
269,ए,,e
270,मेरी,,my
271,मायालु,प्रेम,loving
272,एउटा,,a
273,चिट्ठी,,letter
274,कोरी,,cory
275,पठाईदेउ,,pathaideu
276,तिम्रा,,your
277,ह्रिदयका,प्रेम,forgiveness of
278,भावनाहरु,प्रेम,emotions
279,त्यहि,,the same
280,चिट्ठीमै,,citthimai
281,जीवनमा,,life
282,पहिलो,,first
283,नजर,प्रेम ,look
284,केबल,,cable
285,तिमीलाई,,you
286,हेरें,,looked
287,खाली,दुखी,empty
288,ठाउँमा,,place
289,तस्बिर,प्रेम ,image
290,कोरें,,coren
291,चौतारीको,,chautari
292,डिलमा,,to save their
293,बसी,,busey
294,लजाउने,प्रेम,shyness
295,चुल्बुले,हर्ष,culbule
296,मुहार,हर्ष,the face
,मुहार,प्रेम,the face
297,कस्तिमा,,renounce
298,राम्री,प्रेम,beautiful
299,छौ,,you
300,हरियाली,हर्ष,greenery
,हरियाली,प्रेम,greenery
,हरियाली,देश्भक्ती ,greenery
301,चियाबारीमा,,ciyabarima
302,देख्दा,,seeing
303,लाजमानी,प्रेम,shame
304,हाँसी,हर्ष,gladly
305,लुकी,,luki
306,चियाई,,chiayi
307,भनि,,make
308,मैले,,i
309,माया,प्रेम,illusion
310,रखे,,kept
311,अब,,now
312,सुम्पी,प्रेम,roll
313,सके,,could
314,गण्डकीको,देश्भक्ती,gandaki
315,तिरैमा,,lift
316,लुकिछिपि,,lukichipi
317,खेलेको,हर्ष,played
318,फेवा,प्रेम,phewa
319,तालै,प्रेम,talai
320,डुंगामा,प्रेम,ferry
321,बाराही,,neelbarahi
322,मन्दिर,,house
323,घुमेको,,curved
324,बिर्सि,,forget about
325,नदेउ,,doeth
326,मुटु,प्रेम,heart
327,छिया,दुखी,dirt
328,पारेर,,pieces
329,नजाउ,प्रेम,vishnu
,नजाउ,दुखी,vishnu
330,छाडी,दुखी,leave
331,नौ,,nine
332,डाँडा,देश्भक्ती,mountain
333,काटेर,,cut
334,उदास,दुखी,sad
335,सम्झेर,,remembering
336,हाँसो,हर्श ,laughter
337,रोदन,दुखी,weeping
338,सबै,,all
339,पर्खी,,looking
340,बस्छु,,stay
341,हाँसोमा,हर्श,scoff
342,नउडाइ,,naudai
343,पराइ,दुखी,foreigners
344,जून,हर्श,june
,,प्रेम ,#VALUE!
345,शितलु,,sitalu
346,पारिलो,,climes
347,जहाँ,,where
348,तिमी,,you
349,दाहिने,,right
350,चन्द्रमा,देश्भक्ती,moon
351,परोस्,,heads
352,शान्ति,देश्भक्ती ,peace
353,दुबो,,trimmed
354,फैलिदैं,,phailidaim
355,जाउ,,go
356,पाति,,pati
357,मल्किदैं,,malkidaim
358,बर,,bur
359,पिपल,प्रेम,people
360,झैं,,like
361,देउरालीमा,,deurali
362,छाउन,,thereby
363,आउ,,au
364,दिन,,day
365,छदैं,,sinners
366,बादलुले,,badalule
367,हिमाललाई,देश्भक्ती,mountain
368,छेके,,the breach
369,के,,the
370,भो,,bho
371,आखिर,,after all
372,भोली,,girlish
373,उजेली,प्रेम,ujeli
,उजेली,हर्श,ujeli
374,हुनु,,being
375,बाझ्ने,,conflicted
376,कुराहरु,,things
377,आपसमा,,another
378,होलान्,,have
379,सम्झि,,and spare
380,दिनु,,take
381,चुपचाप,,quietly
382,आवाज,,sound
383,छन्,,are
384,मिर्मिरेमा,,breaking
385,निस्के,,out
386,कर्म,देश्भक्ती,deed
387,गर्दै,,the
388,साँझ,,evening
389,घर,देश्भक्ती,house
390,फिर्न,,reconciled
391,पाउँ,,apologies
392,मरेर,दुखी,dead
393,गए,,the
394,नि,,free
395,देश,देश्भक्ती,country
396,सधैं,,always
397,रहि,,persists
398,रहोस्,,let
399,लेकाली,देश्भक्ती,highland
400,हेहे,,wow
401,चोयाको,,strips
402,डोको,,pots
403,सानु,प्रेम,sanu
404,लगाउने,,wear
405,धोको,,dream
406,नपुग्दै,,less than
407,मर्छु,दुखी,thither
408,पो,,po
409,क्यारे,,cute
410,सोल्टी,,soaltee
411,बरोबर,,equal
412,नढाटी,,it mean
413,बग्यो,दुखी,shed
414,बेसी,,more
415,सम्मै,,foundation
416,कलेजिमा,प्रेम,kalejima
417,टम्मै,,snowcapped
418,आँखै,प्रेम,adapted
,आँखै,हर्श,adapted
419,गाजलु,प्रेम,gajalu
420,लपक्कै,,drip
421,लाईदिउँ,,laidium
422,की,,of
423,छपक्कै,,sails
424,बैसैमा,प्रेम,bezai
425,चोलो,,cholo
426,पाखुरीमा,,pakhurima
427,टिमीक्कौ,,timikkau
428,बस्यो,,lived
429,अाखैमा,,aakhaima
430,झिमिक्कै,,will fix
431,गर्नु,,it
432,कर्कलो,,karkalo
433,बारि,,give
434,पर्ख,,wait
435,तिमिलाई,,you too
436,रोइरहनै,दुखी,roirahanai
437,नपारि,,napari
438,आगमनको,हर्श,coming
439,आभाषामा,,abhasama
440,गीत,,song
441,गाएँ,,yankee
442,बुझाई,,"apparently,"
443,बहलाई,,bahalai
444,दिनेछु,,will
445,दुलही,प्रेम,bride
446,सजिएर,प्रेम,daura
447,बस,,bus
448,बारात,प्रेम,procession
449,साथ,प्रेम,with
450,लिई,,accompanied
451,आउनेछु,,will come
452,स्वयम्बरको,प्रेम,svayambarako
453,माला,प्रेम,garland
454,पहिराई,प्रेम,oven
455,अङ्गालेर,प्रेम,naught
456,लान्छु,,flax
457,ओइलाउन,,wither
458,यौवनलाई,,sexual violence
459,रोएर,दुखी,crying
460,पाइदैन,,inj
461,अल्लरे,,allare
462,होइनौ,,part
463,सन्कोच,दुखी,sankoca
464,नबस,,handshaking
465,मर्यो,दुखी,dead
466,शिशैको,,sisaiko
467,गोलिले,दुखी,golile
468,मीठो,हर्श,sweet
469,बोलीले,,words
470,साथैमा,प्रेम,relied on
471,उडायो,दुखी,debauchery
472,रेलैले,,relaile
473,तालको,,lake
474,माछा,,fish
475,कोई,,a
476,गन्न,,count
477,सक्दैन,,can not
478,जातै,,damn
479,सानो,,small
480,मायामा,प्रेम,in love
481,हुँदैन,,not
482,कसम,प्रेम,swear
483,खाँदैन,,match
484,बिना,,without
485,म,,i
486,बाँच्न,प्रेम,live
,बाँच्न,दुखी,live
487,सक्दिन,दुखी,can not
488,आउला,,ever
489,उठने,,up
490,पालो,,palo
491,कुर्दा,,pond
492,कुर्दै,,waiting
493,जिन्दगी,,life
494,गएछ,,the flames
495,वारि,,eastward
496,पारि,,over
497,अँध्यारो,दुखी,dark
498,खोली,,cover
499,हेर्दा,,looking
500,देखिन्छ,,looks
501,चिम्ली,,tightly
502,छाँया,,busts
503,आफै,,himself
504,सँग,,with
505,भागी,,partner
506,हिँड्न,,to walk
507,ठाल्यो,,thalyo
508,माँया,प्रेम,mother.either
509,आफैलाई,,yourself
510,बोझ,दुखी,load
511,लाग्न,,take
512,तातो,,hot
513,हाँवा,love,hamva
514,बहिदिन्छ,,bahidincha
515,पोल्ने,दुखी,heat
516,गरी,,and
517,निराशाको,दुखी,despair
518,दियो,,gave
519,बल्छ,,devours
520,तिनै,,these
521,जल्ने,,burning
522,वर्षौ,,batala
523,चलेकै,,overqualified
524,आँधी,दुखी,wind
525,बाँध्यतामा,दुखी,bamdhyatama
,बाँध्यतामा,प्रेम,bamdhyatama
526,बाँच्नु,love,to live
,,happy,#VALUE!
527,पर्यो,,had
528,चाहनालाई,प्रेम,desire
529,मान्छेको,,man
530,खोलाको,,river
531,पानी,,water
532,जस्तो,,like
533,किनारालाई,,ends
534,छोई,,fountain
535,भाग्ने,,escape
536,लहरेको,,waves
537,बानी,,habits
538,आँखाको,,eyes
539,नानी,,grandmother
540,फकाई,love,influence
541,आउने,,coming
542,सुन्दर,प्रेम,beautiful
543,विहानी,प्रेम,morning
,विहानी,हर्श,morning
544,जोवनको,,jovan
545,आवेश,,charge
546,मात्र,,but
547,तिर्खाको,,thirsty
548,अर्को,,another
549,राम्रो,happy,good
550,एक,,a
551,भेष,,appearance
552,हेराईमा,love,visually
553,छैन,,no
554,बोलाईमा,love,summoned
555,स्वर,love,voice
556,ढुकढकी,प्रेम,dhukadhaki
557,केही,,some
558,विशालता,देश्भक्ती,immensity
559,धर्ती,देश्भक्ती,earth
560,साँच्ची,,really
561,आत्माको,,spirit
562,मुर्ति,,statue
563,पानीलाई,,water
564,आकार,,shape
565,दिने,,to
566,कोशिस,,try
567,नगर,,city
568,हावालाई,,wind
569,सद्भाव,,good
570,झरेको,दुखी,fallen
571,पात,,leaf
572,झैँ,,like
573,उजाड,दुखी,wilderness
574,निभेको,,went off
575,दिप,,deep
576,चुरा,,stealing
577,फुटेसरी,दुखी,phutesari
578,चराहरु,,birds
579,उडीगए,,udigae
580,हजार,,thousand
581,कोपिलाहरु,प्रेम,kopilaharu
582,नमुस्कुराउँदै,दुखी,namuskuraumdai
583,उठेको,,raised
584,बस्ती,,colony
585,प्रवास,दुखी,migration
586,विहान,दुखी,morning
587,खुशी,,happiness
588,थियो,,was
589,जलेर,दुखी,fire
590,भैसक्यो,,refunded
591,भिजेको,दुखी,wet
592,पातमा,,leaf
593,निशादको,,nishad
594,अधेँरी,दुखी,adhemri
595,विषाद,दुखी,depression
596,लास,दुखी,las
597,कहिँ,,anywhere
598,छातीमा,,breast
599,टुटेफुटेका,दुखी,mouldering
600,स्वप्न,,dream
601,अँगारमात्र,दुखी,amgaramatra
602,जिवन,,life
603,बजर,,buzzer
604,उराठ,दुखी,the cruelest
605,जन्मेर,,infant
606,कोखमा,,the womb
607,कसैकोजन्मेर,,kasaikojanmera
608,कसैको,,one
609,हुर्कन्छ,,grows
610,काखमा,,arms
611,भाग्यको,दुखी,the fate
,भाग्यको,प्रेम,the fate
612,लेखा,,account
613,कस्तो,,what
614,भावीले,दुखी,bhâvile
615,लेखिदियो,,lekhidiyo
616,कस्ले,,arson
617,छोडेको,,left
618,नासो,love,naso
619,जिन्दगीको,,life
620,अनौठो,love,strange
621,नाता,,relationship
622,विरानो,दुखी,extended
623,होला,,would
624,रगतको,,blood
625,खोजी,,search
626,हिँड्दछ,,walks
627,न्यानो,प्रेम,warm
628,काख,,lap
629,छहारी,,shade
630,भाग्य,दुखी,fate
,भाग्य,हर्श,fate
631,सबैलाई,,all
632,पुग्छ,,enough
633,संसारमा,,world
634,विधिले,,method
635,लेखेको,,wrote
636,समयले,,time
637,दिएको,,the
638,भुलाईदेला,दुखी,bhulaidela
639,भुलेको,दुखी,forget
640,सपना,,dream
641,झस्काउँला,दुखी,jhaskaumla
642,कुनैदिन,,someday
643,भरिएला,,bhariela
644,घाउ,दुखी,wound
645,मन्दिरमा,,house
646,कि,,that
647,मुर्तिमा,,statue
648,पत्थरमा,,stone
649,धुलोमा,,dust
650,कोही,,some
651,देखाऊ,,show
652,बताऊ,,tell
653,खै,,i do not know
654,अन्जुली,,anjuli
655,लािग,,for
656,पलपल,,constantly
657,हृदय,,heart
658,चर्कन्छ,दुखी,inability to
659,साउन,,august
660,भदौ,,september
661,बनेर,,becoming
662,बर्षौ,,skilled
663,बर्ष,,year
664,बस्रन्छ,,basrancha
665,आँशुमा,दुखी,tears
666,फुलमा,,phulama
667,काँडामा,दुखी,snag
668,एउटी,,a
669,आमा,,mother
670,जिउँदै,,alive
671,जल्छे,दुखी,jalche
672,छोराको,,son
673,मायाममतामा,,cared for
674,छोरो,,son
675,बाँच्छ,,lives
676,विपनामा,,alko
677,रगतमा,प्रेम,blood
678,नातामा,,relationship
679,विस्वासमा,,biswas
680,बाचामा,,promise
681,श्रद्धाको,,admiration
682,चढाई,,climbing
683,आएर,,come
684,लाशमा,,dead body
685,नपाएको,,without
686,भैगयौ,,bhaigayau
687,रोइ,दुखी,roi
688,आशमा,,whither
689,सम्झन्छु,,remember
690,तिमीले,,you
691,छोएको,,touching
692,कमल,,lotus
693,हातले,,hand
694,संगाली,,sangali
695,नहान,,bath
696,लातले,,goads
697,दिनेछ,,will
698,गुहाई,,guhai
699,जुनेली,,vasishta
700,रातले,,shut
701,गयौ,,you go
702,देह,,body
703,आत्मा,,spirit
704,मर्दैन,,die
705,पिरती,,cleanliness
706,चोखो,,clean
707,लाएको,,locked
708,भए,,would
709,बन्धन,,fastening
710,पर्दैन,,no
711,प्रकृति,,nature
712,ओइली,दुखी,dry
713,झर्छ,दुखी,fall
714,दिलको,,cute
715,झर्दैन,,apart from
716,झर्यो,दुखी,dropped
717,फुट्यो,दुखी,freed
718,छल्केर,,chalkera
719,बल्यो,,fragile
720,झर्,,jhar
721,हाँसेको,,yuck
722,मिठो,प्रेम,sweet
723,सपनीमा,,sapanima
724,नाचेको,,dancing
725,झुटो,दुखी,false
726,गहराको,,deep
727,दहमा,,dive
728,डुब्यो,दुखी,balaklava
729,पिरले,दुखी,shock
730,भरेको,,full
731,विरहीले,दुखी,birahi
732,रुवाएको,दुखी,shed
733,प्यारो,,dear
734,दुख्यो,दुखी,sigh
735,यती,,pause
736,दीइ,,dii
737,दुख,दुखी,misery
738,वर,,bridesmaid
739,पर,,on
740,फुल्ने,,flowering
741,पलास,,pallas
742,सिरमा,,sirama
743,नलाउ,,nalau
744,भाज्ञ्यमा,,bhajnyama
745,कोरिएका,,drawn
746,सुख,,happiness
747,स्विकार्छन,,svikarchana
748,तिता,दुखी,hostility
749,पल,,moment
750,केहि,,some
751,मिठा,,sweet
752,ई,,e
753,हातहरु,,hands
754,प्रसस्त,,enough
755,सान्त्वना,,comfort
756,बाटोमा,,way
757,कती,,forgive
758,काँडा,,thorns
759,फुल,,full
760,हिँडे,,abundantly
761,पराई,दुखी,strangers
762,आफ्ना,,his
763,देखे,,viewed
764,भेटे,,found
765,मोडमा,,mode
766,साहरा,,sahra
767,अल्झेछ,,aljhecha
768,पछ्यौरी,,outer
769,चियाको,,tea
770,बुटामा,,twined
771,बल्झेछ,,baljhecha
772,सिमलको,,tall
773,कलिलो,,young
774,खुट्टामा,,feet
775,आउँथ्यो,,knew
776,चेली,,chelae
777,भनेर,,that
778,दोबाटो,,paths
779,धाई,,nurse
780,तीजमा,,dhwoju
781,पनि,,also
782,बिर्सिछ,,birsicha
783,गरिब,दुखी,the poor
784,माईती,,maiti
785,सल्ला,,salla
786,रहिन्,,rosa
787,एक्लै,,alone
788,कोठामा,,room
789,छोरीलाई,,daughter
790,आषिस,,asisa
791,थाप्न,,the bait
792,पाईन,,pine
793,अन्तिम,,final
794,कालैमा,,not everything
795,भन्थेनी,,would say
796,बाबाले,,father
797,आँशु,दुखी,tears
798,झारी,दुखी,bread
799,टिकाको,,.gud
800,थालीमा,,begging
801,टिका,,hinges
802,पठाईदिऊँ,,pathaidium
803,सालको,,year
804,दाईले,,the scene
805,भाईटिकामा,,bhaitikama
806,बहिनी,,sister
807,फर्केला,,ate the
808,क्षितिजमा,,horizon
809,निधारमा,,forehead
810,इन्द्रेणी,,rainbow
811,लर्केला,,larkela
812,दिनभरी,,a day
813,काग,,cork
814,कराई,,provided
815,रह्यो,,remained
816,बेलको,,bell
817,ठुटामा,,the rootstock
818,छोपी,,herself
819,नरोउ,,smile because
820,भन्नुपर्‍याछ,,bhannuparyacha
821,मुटुमाथि,,mutumathi
822,ढुंगा,दुखी,stone
823,राखि,,the guard
824,हाँस्नुपर्‍याछ,,hamsnuparyacha
825,उठी,,raised
826,जाने,,let
827,थाहा,,know
828,फर्कि,,back
829,होईन,,not
830,वाचा,,covenant
831,छिटै,,soon
832,आउछु,,cutesy
833,गर्नुपर्‍याछ,,garnuparyacha
834,छातीभरि,,rightful
835,गाँउ,,village
836,बेशी,,surplus
837,पखेरीको,,pakheriko
838,आखाँभरि,दुखी,akhambhari
839,मेलापात,,brawl
840,मायालुको,,loving
841,कतै,,nowhere
842,जानुपर्‍याछ,,januparyacha
843,भन्ने,,the
844,कुरा,,what
845,भित्रै,,within
846,परेलीका,,rolled
847,ओठबाट,,lips
848,झरी,दुखी,rain
849,कुलचिएर,,kulaciera
850,हिड्नुपर्‍याछ,,hidnuparyacha
851,चाहेको,,wanted
852,थिएँ,,i
853,कसैले,,no
854,टिपेछ,,tipecha
855,सौन्द्रय,प्रेम,saundraya
856,बनि,,bene
857,सधै,,always
858,लुकेछ,,lukecha
859,त्यै,,and insist
860,देखि,,from
861,भएर,,by
862,गैदियो,दुखी,gaidiyo
863,बिरानो,दुखी,strangers
864,प्रत्येक,,each
865,म्य्टु,प्रेम,mytu
866,धड्किन्छ,,beats
867,बितेका,,past
868,पुराना,,old
869,कुरक्,,kurak
870,सम्झाई,,samjhai
871,तड्पिन्छ,दुखी,tadpincha
872,बाँचि,,live with
873,चाहि,,rulers
874,चोट,दुखी,injury
875,पारी,,innings
876,स्नेहको,,affection
877,हितकारी,,benefit
878,चर्केको,,cleft
879,जोडिदिने,,jodidine
880,फेरि,,again
881,बस्तु,,item
882,मनमा,,heart
883,रहे,,are
884,बिरह,दुखी,birha
885,भन्नु,,said
886,लालिगुराँस,,nblyc
887,भएछु,,volta
888,बनै,,blasts
889,भरि,,throughout
890,फूली,,varicose
891,दिन्छु,,give
892,मनै,,deeply
893,फाँटहरुले,,phamtaharule
894,कस्लाई,,who would
895,भिरमा,,cliff
896,पनि﻿,,also
897,पिरमा,दुखी,pirama
898,लालि,,redness
899,गुराँस,,rhododendrons
900,हेरी,,harry
901,भैदिए,,dalit
902,लाइ,,lai
903,सिउदो,,siudo
904,पुण्य,,saintly
905,मनपराएँ,,liked
906,या,,or
907,पाप,दुखी,sin
908,होस्,,whether
909,दुइटा,,two
910,सँगै,,together
911,रमाउन,,enjoy
912,सक्छ,,can
913,दागको,,squiggles
914,रंगमा,,color
915,समाउन,,to hold
916,नसोध,दुखी,pentagon
917,बरदान,,gifts
918,श्राप,दुखी,curse
919,पराएँ,,i chose
920,तिमीसँग,,you have
921,लिनुपनि,,linupani
922,दिनुपनि,,dinupani
923,हिसाब,,calculation
924,किताबमा,,the book
925,सच्याउनु,,straight
926,भुलेर,दुखी,absentmindedly
927,बेहिसाब,,incalculable
928,माफ,,sorry
929,गरिदेउ,,kurama
930,लोभी,,greedy
931,कहीं,,somewhere
932,कसैमा,,commit
933,डुबेछ,,dubecha
934,भने,,if
935,खोजीरहेछु,,khojirahechu
936,हरेक,,everyone
937,चेहेरामा,,their faces;
938,सपनाकि,,sapanaki
939,प्रियसी,प्रेम,valentine
940,उ,,a
941,आँउछे,,amuche
942,निदाएको,,asleep
943,बेला,,time
944,अनि,,and
945,बस्छे,,sits
946,साट्छे,,satche
947,पिरहरुसित,दुखी,piraharusita
948,उसका,,his
949,भावना,,sense
950,प्रेमको,,love
951,कही,,somewhere
952,कसैलाई,,anyone
953,बिझेछ,दुखी,aback
954,उसको,,her
955,ओठ,,lips
956,रोदीघर,,rodighara
957,बर्षा,,rain
958,सुस्केरा,,sigh
959,शिशीर,,sisira
960,मधुमास,,spring
961,मृगतृष्णा,,mirage
962,देखेछु,,dekhechu
963,सपनाकी,,sapanaki
964,मेरै,,my
965,प्रतिविम्व,,reflection
966,हैन,,not
967,टूटी,,broken
968,अमर,,immortal
969,दुइ,,two
970,दिनको,,day
971,पाहुना,,guest
972,गुनगुनाउछु,,gunagunauchu
973,पाउँछु,,by virtue of
974,बाँड्न,,share
975,सुनाउछु,,sunauchu
976,ल्याउछु,,lyauchu
977,सागरबाट,,sea
