X,words,sentiments,word,sentiment
85,हृदयको,प्रेम,heart,प्रेम
86,धुकधुकी,प्रेम,palpitations,प्रेम
87,रातो,प्रेम,red,प्रेम
NA,रातो,देश्भक्ती,red,देश्भक्ती
90,सुर्य,खुशी,surya,खुशी
91,जङ्गी,देश्भक्ती,igp,देश्भक्ती
92,निशान,देश्भक्ती,mark,देश्भक्ती
93,जिउंदो,देश्भक्ती,aboriginal,देश्भक्ती
94,रगत,देश्भक्ती,blood,देश्भक्ती
96,वल्दो,,valdo,देश्भक्ती
97,शान,देश्भक्ती,scintillation,देश्भक्ती
98,झुकेन,देश्भक्ती,meek,देश्भक्ती
,झुकेन,,,दुखी 
100,लत्रेन,देश्भक्ती,latrena,देश्भक्ती
102,जन्मदै,खुशी,benoni,खुशी
103,जगतमा,देश्भक्ती,the universe,देश्भक्ती
105,प्रहार,देश्भक्ती,strike,रिस
105,प्रहार,देश्भक्ती,strike,नकारात्मक
,प्रहार,,#VALUE!,देश्भक्ती
107,साम्राज्य,देश्भक्ती,empire,देश्भक्ती
109,हारे,देश्भक्ती,losses,देश्भक्ती
NA,हारे,दुखी,losses,दुखी
NA,हारे,प्रेम,losses,प्रेम
110,हारेन,देश्भक्ती,weakened,नकारात्मक
NA,हारेन,खुशी,weakened,नकारात्मक
118,गाई,देश्भक्ती,cow,देश्भक्ती
121,साधु,,monk,सकारात्मक
121,साधु,,monk,विश्वास
125,शरण,,shelter,सकारात्मक
125,शरण,,shelter,विश्वास
126,बलियो,प्रेम,strong,प्रेम
127,टाढा,प्रेम,from,प्रेम
NA,टाढा,दुखी,from,दुखी
130,रंगीन,प्रेम,colored,प्रेम
132,धर्तिमा,देश्भक्ती,dhartima,देश्भक्ती
135,कालो,दुखी,black,नकारात्मक
135,कालो,दुखी,black,दुखी 
136,मैलो,दुखी,mallow,दुखी
138,घाम,खुशी,heat,खुशी
139,जुन,खुशी,the,खुशी
142,कमजोर,दुखी,weak,दुखी
NA,कमजोर,प्रेम,weak,प्रेम
143,आमाको,प्रेम,mother,आशा
143,आमाको,प्रेम,mother,खुशी
143,आमाको,प्रेम,mother,प्रेम
143,आमाको,प्रेम,mother,सकारात्मक
143,आमाको,प्रेम,mother,दुखी 
143,आमाको,प्रेम,mother,विश्वास
144,छाया,दुखी,shadow,दुखी
NA,छाया,प्रेम,shadow,प्रेम
145,हुरी,दुखी,wind,दुखी
147,आवेगमा,दुखी,flurry,दुखी
150,घरसंसार,प्रेम,my home,प्रेम
151,जलिरहेछ,दुखी,jalirahecha,दुखी
152,संवेगमा,दुखी,डर,रिस
152,संवेगमा,दुखी,डर,डर
,संवेगमा,,,दुखी
152,संवेगमा,दुखी,डर,नकारात्मक
157,पिर,दुखी,tapping,दुखी
158,सारा,प्रेम,all,प्रेम
159,विलाई,दुखी,villi,दुखी
161,ओठमा,प्रेम,lips,प्रेम
162,चम्के,,glory,खुशी
162,चम्के,,glory,सकारात्मक
162,चम्के,,glory,विश्वास
163,मुस्कान,प्रेम,smile,खुशी
163,मुस्कान,प्रेम,smile,सकारात्मक
163,मुस्कान,प्रेम,smile,आश्चर्य
163,मुस्कान,प्रेम,smile,विश्वास
165,यात्रामा,प्रेम,tour,प्रेम
NA,यात्रामा,दुखी,tour,दुखी
166,बाटो,दुखी,way,दुखी
NA,बाटो,प्रेम,way,प्रेम
NA,बाटो,देश्भक्ती,way,देश्भक्ती
169,एकदिन,दुखी,one day,दुखी
174,बाधा,दुखी,interruption,दुखी
175,अड्चन,दुखी,obstacle,रिस
175,अड्चन,दुखी,obstacle,डर
175,अड्चन,दुखी,obstacle,नकारात्मक
175,अड्चन,दुखी,obstacle,दुखी 
179,गाढा,दुखी,dark,दुखी 
181,भाइचारा,प्रेम,brotherhood,सकारात्मक
,भाइचारा,,,प्रेम
181,भाइचारा,प्रेम,brotherhood,विश्वास
182,तोडेर,,breaking,दुखी
185,पहाडमा,देश्भक्ती,mountain,देश्भक्ती
186,मधेश,देश्भक्ती,madhes,देश्भक्ती
189,नाचौँ,खुशी,nacaum,खुशी
190,मिलेर,,together,सकारात्मक
191,छमछम,खुशी,chamachama,खुशी
192,आगनै,,aganai,सकारात्मक
193,भरी,,full,सकारात्मक
195,झरे,,down,दुखी
197,फूल,खुशी,flower,खुशी
NA,फूल,प्रेम,flower,प्रेम
203,फूले,,bloated,सकारात्मक
203,फूले,,bloated,खुशी
204,मायाको,प्रेम,प्रेम,खुशी
,मायाको,,,प्रेम
204,मायाको,प्रेम,प्रेम,सकारात्मक
205,मुस्कानमा,प्रेम,smile,खुशी
205,मुस्कानमा,प्रेम,smile,सकारात्मक
205,मुस्कानमा,प्रेम,smile,आश्चर्य
205,मुस्कानमा,प्रेम,smile,विश्वास
206,सम्झिदेउ,प्रेम,samjhideu,प्रेम
207,सुम्पिदेउ,प्रेम,sumpideu,प्रेम
208,जोवन,,jovan,प्रेम
210,खोला,देश्भक्ती,opened,देश्भक्ती
211,नाला,देश्भक्ती,stream,देश्भक्ती
213,दिन्छन,,oppression,रिस
213,दिन्छन,,oppression,घृणा
213,दिन्छन,,oppression,डर
213,दिन्छन,,oppression,नकारात्मक
213,दिन्छन,,oppression,दुखी 
214,सरगमहरुमा,देश्भक्ती,saragamaharuma,देश्भक्ती
216,चाँदनी,खुशी,moonlight,खुशी
NA,चाँदनी,प्रेम,moonlight,प्रेम
217,रातमा,दुखी,night,दुखी
NA,रातमा,प्रेम,night,प्रेम
222,आउँला,,arrive,आशा
223,बादलु,,cloudy,दुखी 
226,रमाइलो,खुशी,fun,आशा
226,रमाइलो,खुशी,fun,खुशी
226,रमाइलो,खुशी,fun,सकारात्मक
231,यादमा,प्रेम,remember,प्रेम
232,बितिरहेछ,दुखी,sighing,दुखी
233,भावनामा,प्रेम,emotions,प्रेम
NA,भावनामा,दुखी ,emotions,दुखी 
234,प्रेमलाई,प्रेम,प्रेम,खुशी
234,प्रेमलाई,प्रेम,प्रेम,सकारात्मक
237,अभावै,,we tend to,दुखी
239,तिमीबिना,दुखी,without you,दुखी
240,अभाव,दुखी,shortage,रिस
240,अभाव,दुखी,shortage,डर
240,अभाव,दुखी,shortage,नकारात्मक
240,अभाव,दुखी,shortage,दुखी 
241,मनको,प्रेम,heart,प्रेम
NA,मनको,दुखी,heart,दुखी
NA,मनको,खुशी ,heart,खुशी 
242,ब्यथा,दुखी,koshish,दुखी
251,भर,,fill,विश्वास
257,कल्पनामा,प्रेम,imagination,प्रेम
258,डुबि,प्रेम,tarried,प्रेम
NA,डुबि,दुखी ,tarried,दुखी 
263,मिर्मिरेमै,प्रेम,mirmiremai,प्रेम
268,बिन्ति,दुखी,petition,दुखी
271,मायालु,प्रेम,loving,खुशी
271,मायालु,प्रेम,loving,सकारात्मक
,मायालु,,,प्रेम
271,मायालु,प्रेम,loving,विश्वास
,चिट्ठी,,,प्रेम
273,चिट्ठी,,letter,आशा
277,ह्रिदयका,प्रेम,forgiveness of,प्रेम
278,भावनाहरु,प्रेम,emotions,प्रेम
283,नजर,प्रेम ,look,प्रेम
284,केबल,,cable,आश्चर्य
287,खाली,दुखी,empty,दुखी
289,तस्बिर,प्रेम ,image,प्रेम
294,लजाउने,प्रेम,shyness,प्रेम
295,चुल्बुले,खुशी,culbule,खुशी
296,मुहार,खुशी,the face,खुशी
NA,मुहार,प्रेम,the face,प्रेम
297,कस्तिमा,,renounce,रिस
297,कस्तिमा,,renounce,नकारात्मक
298,राम्री,प्रेम,beautiful,खुशी
,राम्री,,,प्रेम
298,राम्री,प्रेम,beautiful,सकारात्मक
300,हरियाली,खुशी,greenery,खुशी
NA,हरियाली,प्रेम,greenery,प्रेम
NA,हरियाली,देश्भक्ती ,greenery,देश्भक्ती 
303,लाजमानी,प्रेम,shame,प्रेम
303,लाजमानी,प्रेम,shame,प्रेम
303,लाजमानी,प्रेम,shame,प्रेम
303,लाजमानी,प्रेम,shame,प्रेम
304,हाँसी,खुशी,gladly,खुशी
309,माया,प्रेम,illusion,नकारात्मक
,माया,,,प्रेम
309,माया,प्रेम,illusion,आश्चर्य
312,सुम्पी,प्रेम,roll,प्रेम
314,गण्डकीको,देश्भक्ती,gandaki,देश्भक्ती 
317,खेलेको,खुशी,played,खुशी
318,फेवा,प्रेम,phewa,प्रेम
319,तालै,प्रेम,talai,प्रेम
320,डुंगामा,प्रेम,ferry,प्रेम
326,मुटु,प्रेम,heart,प्रेम
327,छिया,दुखी,dirt,घृणा
327,छिया,दुखी,dirt,नकारात्मक
329,नजाउ,प्रेम,vishnu,प्रेम
NA,नजाउ,दुखी,vishnu,दुखी
330,छाडी,दुखी,leave,नकारात्मक
330,छाडी,दुखी,leave,दुखी 
330,छाडी,दुखी,leave,आश्चर्य
332,डाँडा,देश्भक्ती,mountain,देश्भक्ती 
334,उदास,दुखी,दुखी,दुखी
335,सम्झेर,प्रेम,remembering,प्रेम
336,हाँसो,खुशी ,laughter,आशा
336,हाँसो,खुशी ,laughter,खुशी
336,हाँसो,खुशी ,laughter,सकारात्मक
336,हाँसो,खुशी ,laughter,आश्चर्य
337,रोदन,दुखी,weeping,दुखी 
341,हाँसोमा,खुशी,scoff,खुशी
341,हाँसोमा,खुशी,scoff,खुशी
341,हाँसोमा,खुशी,scoff,खुशी
343,पराइ,दुखी,foreigners,दुखी
344,जून,खुशी,june,खुशी
350,चन्द्रमा,देश्भक्ती,moon,देश्भक्ती 
352,शान्ति,देश्भक्ती ,peace,आशा
352,शान्ति,देश्भक्ती ,peace,खुशी
352,शान्ति,देश्भक्ती ,peace,सकारात्मक
,शान्ति,,,देश्भक्ती 
352,शान्ति,देश्भक्ती ,peace,विश्वास
359,पिपल,प्रेम,people,प्रेम
367,हिमाललाई,देश्भक्ती,mountain,देश्भक्ती
373,उजेली,प्रेम,ujeli,प्रेम
NA,उजेली,खुशी,ujeli,खुशी
,कर्म,,,देश्भक्ती
386,कर्म,देश्भक्ती,deed,विश्वास
389,घर,देश्भक्ती,house,देश्भक्ती
392,मरेर,दुखी,dead,दुखी
393,गए,,the,NA
394,नि,,free,NA
395,देश,देश्भक्ती,country,देश्भक्ती
396,सधैं,,always,NA
397,रहि,,persists,NA
398,रहोस्,,let,NA
399,लेकाली,देश्भक्ती,highland,देश्भक्ती
400,हेहे,,wow,NA
401,चोयाको,,strips,NA
402,डोको,,pots,NA
403,सानु,प्रेम,sanu,प्रेम
404,लगाउने,,wear,नकारात्मक
404,लगाउने,,wear,विश्वास
405,धोको,,dream,NA
406,नपुग्दै,,less than,NA
407,मर्छु,दुखी,thither,दुखी
413,बग्यो,दुखी,shed,नकारात्मक
414,बेसी,,more,NA
415,सम्मै,,foundation,सकारात्मक
416,कलेजिमा,प्रेम,kalejima,प्रेम
417,टम्मै,,snowcapped,NA
418,आँखै,प्रेम,adapted,प्रेम
NA,आँखै,खुशी,adapted,खुशी
419,गाजलु,प्रेम,gajalu,प्रेम
424,बैसैमा,प्रेम,bezai,प्रेम
434,पर्ख,,wait,आशा
434,पर्ख,,wait,नकारात्मक
435,तिमिलाई,,you too,NA
436,रोइरहनै,दुखी,roirahanai,दुखी 
437,नपारि,,napari,NA
438,आगमनको,खुशी,coming,खुशी
,दुलही,,,प्रेम
445,दुलही,प्रेम,bride,आशा
445,दुलही,प्रेम,bride,खुशी
445,दुलही,प्रेम,bride,सकारात्मक
445,दुलही,प्रेम,bride,विश्वास
446,सजिएर,प्रेम,daura,प्रेम
447,बस,,bus,NA
448,बारात,प्रेम,procession,खुशी
,बारात,,,प्रेम
448,बारात,प्रेम,procession,सकारात्मक
448,बारात,प्रेम,procession,दुखी 
448,बारात,प्रेम,procession,आश्चर्य
449,साथ,प्रेम,with,प्रेम
450,लिई,,accompanied,NA
451,आउनेछु,,will come,NA
452,स्वयम्बरको,प्रेम,svayambarako,प्रेम
453,माला,प्रेम,garland,प्रेम
454,पहिराई,प्रेम,oven,प्रेम
455,अङ्गालेर,प्रेम,naught,प्रेम
456,लान्छु,,flax,NA
457,ओइलाउन,,wither,नकारात्मक
457,ओइलाउन,,wither,दुखी 
458,यौवनलाई,,sexual violence,NA
459,रोएर,दुखी,crying,नकारात्मक
459,रोएर,दुखी,crying,दुखी 
463,सन्कोच,दुखी,sankoca,दुखी
464,नबस,,handshaking,NA
465,मर्यो,दुखी,dead,दुखी
466,शिशैको,,sisaiko,NA
467,गोलिले,दुखी,golile,दुखी
468,मीठो,खुशी,sweet,आशा
468,मीठो,खुशी,sweet,खुशी
468,मीठो,खुशी,sweet,सकारात्मक
468,मीठो,खुशी,sweet,आश्चर्य
468,मीठो,खुशी,sweet,विश्वास
469,बोलीले,,words,रिस
469,बोलीले,,words,नकारात्मक
470,साथैमा,प्रेम,relied on,प्रेम
471,उडायो,,debauchery,घृणा
471,उडायो,,debauchery,डर
471,उडायो,,debauchery,नकारात्मक
476,गन्न,,count,सकारात्मक
476,गन्न,,count,विश्वास
477,सक्दैन,,can not,NA
479,सानो,,small,नकारात्मक
480,मायामा,प्रेम,in प्रेम,प्रेम
481,हुँदैन,,not,NA
,कसम,,,प्रेम
482,कसम,प्रेम,swear,सकारात्मक
482,कसम,प्रेम,swear,विश्वास
483,खाँदैन,,match,NA
484,बिना,,without,नकारात्मक
485,म,,i,NA
486,बाँच्न,प्रेम,live,प्रेम
NA,बाँच्न,दुखी,live,दुखी
487,सक्दिन,दुखी,can not,दुखी
497,अँध्यारो,दुखी,dark,दुखी 
498,खोली,,cover,विश्वास
505,भागी,,partner,सकारात्मक
506,हिँड्न,,to walk,NA
507,ठाल्यो,,thalyo,NA
508,माँया,प्रेम,mother.either,प्रेम
509,आफैलाई,,yourself,NA
510,बोझ,दुखी,load,दुखी
511,लाग्न,,take,NA
512,तातो,,hot,रिस
513,हाँवा,प्रेम,hamva,प्रेम
514,बहिदिन्छ,,bahidincha,NA
515,पोल्ने,दुखी,heat,दुखी
516,गरी,,and,NA
517,निराशाको,दुखी,despair,रिस
517,निराशाको,दुखी,despair,घृणा
517,निराशाको,दुखी,despair,डर
517,निराशाको,दुखी,despair,नकारात्मक
517,निराशाको,दुखी,despair,दुखी 
524,आँधी,दुखी,wind,दुखी
525,बाँध्यतामा,दुखी,bamdhyatama,दुखी
NA,बाँध्यतामा,प्रेम,bamdhyatama,प्रेम
526,बाँच्नु,प्रेम,to live,प्रेम
NA,,खुशी,#VALUE!,NA
527,पर्यो,,had,NA
528,चाहनालाई,प्रेम,desire,प्रेम
535,भाग्ने,,escape,आशा
535,भाग्ने,,escape,डर
535,भाग्ने,,escape,नकारात्मक
535,भाग्ने,,escape,सकारात्मक
539,नानी,,grandmother,सकारात्मक
540,फकाई,प्रेम,influence,नकारात्मक
,फकाई,,,प्रेम
540,फकाई,प्रेम,influence,सकारात्मक
541,आउने,,coming,आशा
542,सुन्दर,प्रेम,beautiful,खुशी
542,सुन्दर,प्रेम,beautiful,सकारात्मक
543,विहानी,प्रेम,morning,प्रेम
NA,विहानी,खुशी,morning,खुशी
544,जोवनको,,jovan,NA
545,आवेश,,charge,NA
546,मात्र,,but,NA
547,तिर्खाको,,thirsty,नकारात्मक
548,अर्को,,another,NA
549,राम्रो,खुशी,good,आशा
549,राम्रो,खुशी,good,खुशी
549,राम्रो,खुशी,good,सकारात्मक
549,राम्रो,खुशी,good,आश्चर्य
549,राम्रो,खुशी,good,विश्वास
550,एक,,a,NA
551,भेष,,appearance,NA
552,हेराईमा,प्रेम,visually,प्रेम
553,छैन,,no,
554,बोलाईमा,प्रेम,summoned,प्रेम
555,स्वर,प्रेम,voice,प्रेम
556,ढुकढकी,प्रेम,dhukadhaki,प्रेम
557,केही,,some,NA
558,विशालता,देश्भक्ती,immensity,देश्भक्ती
559,धर्ती,देश्भक्ती,earth,देश्भक्ती
560,साँच्ची,,really,NA
561,आत्माको,,spirit,सकारात्मक
562,मुर्ति,,statue,सकारात्मक
563,पानीलाई,,water,NA
564,आकार,,shape,सकारात्मक
565,दिने,,to,NA
566,कोशिस,,try,सकारात्मक
567,नगर,,city,NA
568,हावालाई,,wind,NA
569,सद्भाव,,good,आशा
569,सद्भाव,,good,खुशी
569,सद्भाव,,good,सकारात्मक
569,सद्भाव,,good,आश्चर्य
569,सद्भाव,,good,विश्वास
570,झरेको,दुखी,fallen,दुखी 
571,पात,,leaf,NA
572,झैँ,,like,NA
573,उजाड,दुखी,wilderness,आशा
573,उजाड,दुखी,wilderness,डर
573,उजाड,दुखी,wilderness,दुखी 
574,निभेको,,went off,NA
575,दिप,,deep,सकारात्मक
576,चुरा,,stealing,सकारात्मक
576,चुरा,,stealing,
576,चुरा,,stealing,
577,फुटेसरी,दुखी,phutesari,दुखी 
578,चराहरु,,birds,NA
579,उडीगए,,udigae,NA
580,हजार,,thousand,NA
581,कोपिलाहरु,प्रेम,kopilaharu,प्रेम
582,नमुस्कुराउँदै,दुखी,namuskuraumdai,दुखी
583,उठेको,,raised,NA
584,बस्ती,,colony,NA
585,प्रवास,दुखी,migration,दुखी
586,विहान,दुखी,morning,दुखी
587,खुशी,,happiness,आशा
587,खुशी,,happiness,खुशी
587,खुशी,,happiness,सकारात्मक
588,थियो,,was,NA
589,जलेर,दुखी,fire,दुखी
590,भैसक्यो,,refunded,NA
591,भिजेको,दुखी,wet,दुखी
592,पातमा,,leaf,NA
593,निशादको,,nishad,NA
594,अधेँरी,दुखी,adhemri,दुखी
595,विषाद,दुखी,depression,नकारात्मक
595,विषाद,दुखी,depression,दुखी 
596,लास,दुखी,las,NA
597,कहिँ,,anywhere,NA
598,छातीमा,,breast,NA
599,टुटेफुटेका,दुखी,mouldering,दुखी
600,स्वप्न,,dream,NA
601,अँगारमात्र,दुखी,amgaramatra,दुखी
602,जिवन,,life,NA
603,बजर,,buzzer,NA
604,उराठ,दुखी,the cruelest,दुखी
605,जन्मेर,,infant,आशा
605,जन्मेर,,infant,डर
605,जन्मेर,,infant,खुशी
605,जन्मेर,,infant,सकारात्मक
605,जन्मेर,,infant,आश्चर्य
606,कोखमा,,the womb,NA
607,कसैकोजन्मेर,,kasaikojanmera,NA
608,कसैको,,one,NA
609,हुर्कन्छ,,grows,NA
610,काखमा,,arms,NA
611,भाग्यको,दुखी,the fate,दुखी
NA,भाग्यको,प्रेम,the fate,प्रेम
612,लेखा,,account,विश्वास
613,कस्तो,,what,NA
614,भावीले,दुखी,bhâvile,दुखी
615,लेखिदियो,,lekhidiyo,NA
616,कस्ले,,arson,
616,कस्ले,,arson,
616,कस्ले,,arson,
617,छोडेको,,left,NA
618,नासो,प्रेम,naso,प्रेम
619,जिन्दगीको,,life,NA
620,अनौठो,प्रेम,strange,प्रेम
621,नाता,,relationship,NA
622,विरानो,दुखी,extended,दुखी
623,होला,,would,NA
624,रगतको,,blood,NA
625,खोजी,,search,NA
626,हिँड्दछ,,walks,NA
627,न्यानो,प्रेम,warm,प्रेम
628,काख,,lap,NA
629,छहारी,,shade,NA
630,भाग्य,दुखी,fate,आशा
630,भाग्य,दुखी,fate,नकारात्मक
NA,भाग्य,खुशी,fate,दुखी
,भाग्य,,,सकारात्मक
631,सबैलाई,,all,NA
632,पुग्छ,,enough,NA
633,संसारमा,,world,NA
634,विधिले,,method,NA
635,लेखेको,,wrote,NA
636,समयले,,time,आशा
637,दिएको,,the,NA
638,भुलाईदेला,दुखी,bhulaidela,दुखी
,भुलेको,,,दुखी
639,भुलेको,दुखी,forget,नकारात्मक
640,सपना,,dream,
641,झस्काउँला,दुखी,jhaskaumla,दुखी
642,कुनैदिन,,someday,NA
643,भरिएला,,bhariela,NA
644,घाउ,दुखी,wound,रिस
644,घाउ,दुखी,wound,डर
644,घाउ,दुखी,wound,नकारात्मक
644,घाउ,दुखी,wound,दुखी 
645,मन्दिरमा,,house,सकारात्मक
646,कि,,that,NA
647,मुर्तिमा,,statue,सकारात्मक
648,पत्थरमा,,stone,रिस
648,पत्थरमा,,stone,नकारात्मक
649,धुलोमा,,dust,नकारात्मक
650,कोही,,some,NA
651,देखाऊ,,show,विश्वास
652,बताऊ,,tell,NA
653,खै,,i do not know,NA
654,अन्जुली,,anjuli,NA
655,लािग,,for,NA
,पलपल,,,प्रेम
656,पलपल,,constantly,विश्वास
657,हृदय,,heart,प्रेम
658,चर्कन्छ,दुखी,inability to,दुखी
659,साउन,,august,सकारात्मक
660,भदौ,,september,NA
661,बनेर,,becoming,NA
662,बर्षौ,,skilled,सकारात्मक
663,बर्ष,,year,NA
664,बस्रन्छ,,basrancha,NA
665,आँशुमा,दुखी,tears,दुखी
666,फुलमा,,phulama,NA
667,काँडामा,दुखी,snag,नकारात्मक
667,काँडामा,दुखी,snag,दुखी
668,एउटी,,a,NA
669,आमा,,mother,आशा
669,आमा,,mother,खुशी
669,आमा,,mother,नकारात्मक
669,आमा,,mother,सकारात्मक
669,आमा,,mother,दुखी 
669,आमा,,mother,विश्वास
670,जिउँदै,,alive,आशा
670,जिउँदै,,alive,खुशी
670,जिउँदै,,alive,सकारात्मक
670,जिउँदै,,alive,विश्वास
671,जल्छे,दुखी,jalche,दुखी
672,छोराको,,son,NA
673,मायाममतामा,,cared for,प्रेम
674,छोरो,,son,NA
675,बाँच्छ,,lives,सकारात्मक
676,विपनामा,,alko,सकारात्मक
677,रगतमा,प्रेम,blood,प्रेम
678,नातामा,,relationship,
679,विस्वासमा,,biswas,विश्वास
680,बाचामा,,promise,खुशी
680,बाचामा,,promise,सकारात्मक
680,बाचामा,,promise,विश्वास
681,श्रद्धाको,,admiration,खुशी
681,श्रद्धाको,,admiration,सकारात्मक
681,श्रद्धाको,,admiration,विश्वास
682,चढाई,,climbing,NA
683,आएर,,come,NA
684,लाशमा,,dead body,दुखी
685,नपाएको,,without,नकारात्मक
686,भैगयौ,,bhaigayau,NA
687,रोइ,दुखी,roi,दुखी
688,आशमा,,whither,सकारात्मक
689,सम्झन्छु,,remember,
690,तिमीले,,you,NA
691,छोएको,,touching,NA
692,कमल,,lotus,प्रेम
693,हातले,,hand,NA
694,संगाली,,sangali,NA
695,नहान,,bath,सकारात्मक
696,लातले,,goads,NA
697,दिनेछ,,will,NA
698,गुहाई,,guhai,NA
699,जुनेली,,vasishta,प्रेम
700,रातले,,shut,NA
,गयौ,,,दुखी
701,गयौ,,you go,आशा
702,देह,,body,NA
703,आत्मा,,spirit,सकारात्मक
704,मर्दैन,,die,डर
704,मर्दैन,,die,नकारात्मक
704,मर्दैन,,die,दुखी 
705,पिरती,,cleanliness,सकारात्मक
706,चोखो,,clean,खुशी
706,चोखो,,clean,सकारात्मक
706,चोखो,,clean,विश्वास
707,लाएको,,locked,NA
708,भए,,would,NA
709,बन्धन,,fastening,प्रेम
710,पर्दैन,,no,नकारात्मक
711,प्रकृति,,nature,सकारात्मक
712,ओइली,दुखी,dry,NA
713,झर्छ,दुखी,fall,नकारात्मक
713,झर्छ,दुखी,fall,दुखी 
,दिलको,,,आशा
,दिलको,,,प्रेम
714,दिलको,,cute,सकारात्मक
715,झर्दैन,,apart from,NA
716,झर्यो,दुखी,dropped,दुखी
717,फुट्यो,दुखी,freed,दुखी
718,छल्केर,,chalkera,NA
719,बल्यो,,fragile,डर
719,बल्यो,,fragile,नकारात्मक
719,बल्यो,,fragile,दुखी 
720,झर्,,jhar,NA
721,हाँसेको,,yuck,खुशी
722,मिठो,प्रेम,sweet,आशा
722,मिठो,प्रेम,sweet,खुशी
722,मिठो,प्रेम,sweet,सकारात्मक
,मिठो,,,प्रेम
722,मिठो,प्रेम,sweet,आश्चर्य
722,मिठो,प्रेम,sweet,विश्वास
723,सपनीमा,,sapanima,NA
724,नाचेको,,dancing,NA
725,झुटो,दुखी,FALSE,दुखी
726,गहराको,,deep,NA
727,दहमा,,dive,NA
728,डुब्यो,दुखी,balaklava,दुखी
729,पिरले,दुखी,shock,रिस
729,पिरले,दुखी,shock,डर
,पिरले,,,दुखी
729,पिरले,दुखी,shock,नकारात्मक
729,पिरले,दुखी,shock,आश्चर्य
730,भरेको,,full,सकारात्मक
731,विरहीले,दुखी,birahi,दुखी
,रुवाएको,,,दुखी
732,रुवाएको,दुखी,shed,नकारात्मक
733,प्यारो,,dear,सकारात्मक
734,दुख्यो,दुखी,sigh,दुखी
735,यती,,pause,NA
736,दीइ,,dii,NA
737,दुख,दुखी,misery,रिस
737,दुख,दुखी,misery,घृणा
737,दुख,दुखी,misery,डर
737,दुख,दुखी,misery,नकारात्मक
737,दुख,दुखी,misery,दुखी 
738,वर,,bridesmaid,खुशी
738,वर,,bridesmaid,सकारात्मक
738,वर,,bridesmaid,विश्वास
739,पर,,on,नकारात्मक
740,फुल्ने,,flowering,सकारात्मक
741,पलास,,pallas,NA
742,सिरमा,,sirama,NA
743,नलाउ,,nalau,NA
