no,word,English,sentiment
56,अफ्ठ्यारो,difficulties,नकारात्मक
57,अफ्ठ्यारो,difficulties,दुःखी 
58,अब्बल,the patient,सकारात्मक
59,अभाव,shortage,रिस
60,अभाव,shortage,डर
61,अभाव,shortage,नकारात्मक
62,अभाव,shortage,दुःखी 
63,अभावै,we tend to,दुःखी 
64,अभिशप्त,baneful,दुःखी 
65,अभिसक्त,abhisakta,दुःखी 
66,अमर,immortal,सकारात्मक
67,अर्कैलाइ,arkailai,नकारात्मक
68,अर्थ,meaning,सकारात्मक
69,अर्थ,,नकारात्मक
70,अलिकती,a little,आशा
71,अल्जेछ,aljecha,डर
72,अल्झाई,aljhai,प्रेम
73,अल्झाई,#VALUE!,दुःखी 
74,अल्झी,aljhi,डर
75,अल्लारे,shallow,नकारात्मक
76,अवरोह,descent,डर
77,अवरोह,descent,दुःखी 
78,असजिलो,uncomfortable,नकारात्मक
79,असिना,hail,नकारात्मक
80,असिना,hail,सकारात्मक
81,असिना,hail,विश्वास
82,अस्तित्व,existence,सकारात्मक
83,अाकाशलाई,sky,सकारात्मक
84,अामा,aama,प्रेम
85,अामाले,aamale,प्रेम
86,अाशा,Hope,आशा
87,अाशा,Hope,हर्ष
88,अाशा,Hope,सकारात्मक
89,अाशा,Hope,आश्चर्य
90,अाशा,Hope,विश्वास
91,अासुकाे,aasukae,दुःखी 
92,अासुकाे,aasukae,हर्ष
93,अैलग्ने,aailagne,नकारात्मक
94,आ,coming,आशा
95,आइदियौ,woe,घृणा
96,आइदियौ,woe,डर
97,आइदियौ,woe,नकारात्मक
98,आइदियौ,woe,दुःखी 
99,आइरनी,irony,सकारात्मक
100,आईनौ,ainau,दुःखी 
101,आईनौ,ainau,नकारात्मक
102,आउछ,comes,सकारात्मक
103,आउँछ,Arrival,आशा
104,आउंछ,apart,हर्ष
105,आउदैन,forfeited,नकारात्मक
106,आउनु,come,सकारात्मक
107,आउने,coming,आशा
108,आउँला,arrive,आशा
109,आकार,shape,सकारात्मक
110,आकाश,sky,सकारात्मक
111,आकाशै,towering,आशा
112,आकाशै,towering,डर
113,आकाशै,towering,सकारात्मक
114,आकाशैको,towering,आशा
115,आकाशैको,towering,डर
116,आकाशैको,towering,सकारात्मक
117,आकाशैमा,towering,आशा
118,आकाशैमा,towering,डर
119,आकाशैमा,towering,सकारात्मक
120,आखाँ,eyes,प्रेम
121,आखाँ,,हर्ष
122,आखाँ,,दुःखी 
123,आखाँ,,रिस
124,आखाँ,,डर
125,आँखा,eye,प्रेम
126,आँखा,eye,हर्ष
127,आँखा,eye,दुःखी 
128,आँखाका,eyes,प्रेम
129,आँखाका,eyes,हर्ष
130,आखाँभरि,akhambhari,दुःखी 
131,आखामा,"eye,",प्रेम
132,आँखामा,eyes,प्रेम
133,आँखालाई,the eye,प्रेम
134,आँखालाई,,आश्चर्य
135,आँखालाई,,हर्ष
136,आँखालाई,,दुःखी 
137,आँखालाई,,डर
138,आँखालाई,,रिस
139,आँखाहरुले,eyes,प्रेम
140,आँखाहरुले,eyes,हर्ष
141,आँखै,adapted,प्रेम
142,आँखै,adapted,हर्ष
143,आँगनमा,court,रिस
144,आँगनमा,court,आशा
145,आँगनमा,court,डर
146,आगनै,aganai,सकारात्मक
147,आगमनको,coming,हर्ष
148,आगमनले,coming,आशा
149,आगो,fire,डर
150,आंचल,border,देशभक्त
151,आँट,courage,सकारात्मक
152,आँटे,tackle,सकारात्मक
153,आँटे,tackle,हर्ष
154,आड,support,विश्वास
155,आत्मबल,initiative,सकारात्मक
156,आत्मबल,,विश्वास
157,आत्मा,spirit,सकारात्मक
158,आत्माको,spirit,सकारात्मक
159,आँधि,storm,रिस
160,आँधि,storm,नकारात्मक
161,आँधी,wind,दुःखी 
162,आनन्दको,happiness,आशा
163,आनन्दको,happiness,हर्ष
164,आनन्दको,happiness,सकारात्मक
165,आफन्तलाई,relatives,प्रेम
166,आफू,he was,विश्वास
167,आफ्नै,own,प्रेम
168,आफ्नौ,twice,प्रेम
169,आभास,inkling,आशा
170,आमा,mother,आशा
171,आमा,mother,हर्ष
172,आमा,mother,नकारात्मक
173,आमा,mother,सकारात्मक
174,आमा,mother,दुःखी 
175,आमा,mother,विश्वास
176,आमाको,mother,आशा
177,आमाको,mother,हर्ष
178,आमाको,mother,प्रेम
179,आमाको,mother,सकारात्मक
180,आमाको,mother,दुःखी 
181,आमाको,mother,विश्वास
182,आमाहरु,mothers,देशभक्त
183,आमिलो,amilo,नकारात्मक
184,आयू,Ayew,आशा
185,आयौ,but what,सकारात्मक
186,आरोह,ascending,सकारात्मक
187,आवाजको,voice,सकारात्मक
188,आवेगमा,flurry,दुःखी 
189,आशमा,whither,सकारात्मक
190,आशा,hope,आशा
191,आशा,hope,हर्ष
192,आशा,hope,सकारात्मक
193,आशा,hope,आश्चर्य
194,आशा,hope,विश्वास
195,आशा,,दुःखी 
196,आशांका,asanka,विश्वास
197,आशिष,blessing,आशा
198,आशिष,blessing,हर्ष
199,आशिष,blessing,सकारात्मक
200,आशिष,blessing,विश्वास
201,आशु,speedy,सकारात्मक
202,आँशु,tears,दुःखी 
203,आँशुमा,tears,दुःखी 
204,आँशुहरु,amsuharu,दुःखी 
205,आशै,unexpected,आशा
206,आशै,unexpected,डर
207,आशै,unexpected,हर्ष
208,आशै,unexpected,नकारात्मक
209,आशै,unexpected,सकारात्मक
210,आशै,unexpected,आश्चर्य
211,आषिस,asisa,सकारात्मक
212,आस,nearby,आशा
213,आँसु,tears,दुःखी 
214,आहाहा,ahaha,हर्ष
215,आहाहा.हा.है,ahahahahai,हर्ष
216,आहाहाअ,ahahaa,हर्ष
217,आहाहाहाहाहाहा,ahahahahahaha,हर्ष
218,आहो.आहै,ahoahai,हर्ष
219,इज्जत,honor,सकारात्मक
220,इज्जत,honor,विश्वास
221,इतिहासमा,history,देशभक्त
222,इमान्दारी,uprightness,सकारात्मक
223,इर्ष्या,jealousy,रिस
224,इर्ष्या,jealousy,घृणा
225,इर्ष्या,jealousy,डर
226,इर्ष्या,jealousy,नकारात्मक
227,इर्ष्या,jealousy,दुःखी 
228,इर्ष्या,jealousy,प्रेम
229,ईतिहास,history,देशभक्त
230,ईश्‍वर,god,आशा
231,ईश्‍वर,god,डर
232,ईश्‍वर,god,हर्ष
233,ईश्‍वर,god,सकारात्मक
234,ईश्‍वर,god,विश्वास
235,उकालो,uphill,आशा
236,उकालो,uphill,डर
237,उकालो,uphill,नकारात्मक
238,उकालो,uphill,सकारात्मक
239,उकास्न,improve,आशा
240,उकास्न,improve,हर्ष
241,उकास्न,improve,सकारात्मक
242,उकास्न,improve,विश्वास
243,उचाईमा,height,सकारात्मक
244,उचाली,lifted,सकारात्मक
245,उच्च,superior,सकारात्मक
246,उच्च,superior,हर्ष
247,उजाड,wilderness,आशा
248,उजाड,wilderness,डर
249,उजाड,wilderness,दुःखी 
250,उजेली,ujeli,प्रेम
251,उजेली,ujeli,हर्ष
252,उज्ज्वल,bright,सकारात्मक
253,उज्ज्वल,bright,आशा
254,उज्याली,bright,हर्ष
255,उज्याली,bright,सकारात्मक
256,उज्यालो,light,हर्ष
257,उज्यालो,,सकारात्मक
258,उडाइ,flight,प्रेम
259,उडायो,debauchery,घृणा
260,उडायो,debauchery,डर
261,उडायो,debauchery,नकारात्मक
262,उडी,flying,डर
263,उडी,flying,सकारात्मक
264,उडेको,sparks,हर्ष
265,उडेको,sparks,प्रेम
266,उड्न,fly,प्रेम
267,उड्न,fly,हर्ष
268,उत्तर,north,देशभक्त
269,उत्साह,enthusiasm,आशा
270,उत्साह,enthusiasm,हर्ष
271,उत्साह,enthusiasm,सकारात्मक
272,उत्साह,enthusiasm,आश्चर्य
273,उदाइन,mccomb,नकारात्मक
274,उदाइन,,दुःखी 
275,उदास,sad,दुःखी 
276,उनेको,holiness,आशा
277,उनेको,holiness,डर
278,उनेको,holiness,हर्ष
279,उनेको,holiness,सकारात्मक
280,उनेको,holiness,आश्चर्य
281,उनेको,holiness,विश्वास
282,उन्नति,progress,आशा
283,उन्नति,progress,हर्ष
284,उन्नति,progress,सकारात्मक
285,उपहार,gift,आशा
286,उपहार,gift,हर्ष
287,उपहार,gift,सकारात्मक
288,उपहार,gift,आश्चर्य
289,उभिएको,standing,सकारात्मक
290,उमंग,exaltation,हर्ष
291,उमंग,exaltation,सकारात्मक
292,उमंग,exaltation,विश्वास
293,उम्र्यो,sprouted,सकारात्मक
294,उराठ,the cruelest,दुःखी 
295,उशा,arrears,नकारात्मक
296,ऋतुहरु,Seasons,सकारात्मक
297,एउटालाई,one,दुःखी 
298,एकदिन,one day,दुःखी 
299,एकनास,count on,सकारात्मक
300,एकादेश,-I,देशभक्त
301,एकान्त,solitary,प्रेम
302,एकान्तमा,privately,दुःखी 
303,एकान्तमा,,प्रेम
304,एकान्तमा,,डर
305,एकोहोरो,routine,सकारात्मक
306,एकोहोरो,routine,विश्वास
307,एक्लाई,eklai,दुःखी 
308,एक्लै,alone,दुःखी 
309,एक्लो,single,नकारात्मक
310,एक्लो,single,दुःखी 
311,एक्लोपनले,loneliness,डर
312,एक्लोपनले,loneliness,नकारात्मक
313,एक्लोपनले,loneliness,दुःखी 
314,एसियाको,asia,देशभक्त
315,ओइलाउन,wither,नकारात्मक
316,ओइलाउन,wither,दुःखी 
317,ओठको,lips,प्रेम
318,ओठमा,lips,प्रेम
319,ओठैमा,othaima,प्रेम
320,ओराली,weakness,नकारात्मक
321,औँठि,aumthi,प्रेम
322,औने,Distress,रिस
323,औने,Distress,घृणा
324,औने,Distress,डर
325,औने,Distress,नकारात्मक
326,औने,Distress,दुःखी 
327,औने,Distress,आश्चर्य
328,कठिन,difficult,डर
329,कठिन,difficult,दुःखी 
330,कती,forgive,सकारात्मक
331,कदम,step,सकारात्मक
332,कदम,step,आशा
333,कदर,treasure,आशा
334,कदर,treasure,हर्ष
335,कदर,treasure,सकारात्मक
336,कदर,treasure,विश्वास
337,कन्याको,virgin,सकारात्मक
338,कन्याको,virgin,विश्वास
339,कपाल,skull,प्रेम
340,कमजोर,weak,दुःखी 
341,कमजोर,weak,प्रेम
342,कमजोरी,weakness,नकारात्मक
343,कमल,lotus,प्रेम
344,कमाण्डर,commander,देशभक्त
345,करौडौँ,millions,देशभक्त
346,कर्णाली,karnali,देशभक्त
347,कर्म,,देशभक्त
348,कर्म,deed,विश्वास
349,कर्ममा,horrible,सकारात्मक
350,कर्ममा,,देशभक्त
351,कर्मलिला,karmalila,नकारात्मक
352,कल,tomorrow,दुःखी 
353,कल,tomorrow,आशा
354,कल,tomorrow,दुःखी 
355,कलकल,the river,प्रेम
356,कलकल,the river,सकारात्मक
357,कलिलो,young,आशा
358,कलिलो,young,हर्ष
359,कलिलो,young,सकारात्मक
360,कलिलो,young,आश्चर्य
361,कलीला,kalila,सकारात्मक
362,कलीला,kalila,हर्ष
363,कलेजिमा,kalejima,प्रेम
364,कल्पना,fantasy,प्रेम
365,कल्पनामा,imagination,प्रेम
366,कल्पनाहरु,fantasies,प्रेम
367,कसम,,प्रेम
368,कसम,swear,सकारात्मक
369,कसम,swear,विश्वास
370,कस्तिमा,renounce,रिस
371,कस्तिमा,renounce,नकारात्मक
372,कहिलेकाहीँ,sometimes,नकारात्मक
373,काखेमा,infant,आशा
374,काखेमा,infant,डर
375,काखेमा,infant,हर्ष
376,काखेमा,infant,सकारात्मक
377,काखेमा,infant,आश्चर्य
378,काखैमा,shore,प्रेम
379,काँगडा,kangra,देशभक्त
380,कागैको,kagaiko,नकारात्मक
381,काट,bite,नकारात्मक
382,काटिन्छ,harvested,सकारात्मक
383,काटी,cut,नकारात्मक
384,काठमाडौं,kathmandu,देशभक्त
385,काँडा,thorns,नकारात्मक
386,कांडा,Kanda,दुःखी 
387,कांडा,Kanda,प्रेम
388,काँडामा,snag,नकारात्मक
389,काँडामा,snag,दुःखी 
390,काँडामाथि,kamdamathi,दुःखी 
391,काँडामाथि,,नकारात्मक
392,कान्छी,younger,सकारात्मक
393,कान्छो,younger,सकारात्मक
394,कामना,desire,प्रेम
395,कामना,desire,सकारात्मक
396,कामना,desire,आशा
397,काल,time,आशा
398,काल,time,दुःखी 
399,कालाे,kalae,दुःखी 
400,काली,kali,नकारात्मक
401,कालैमा,not everything,दुःखी 
402,कालो,black,नकारात्मक
403,कालो,black,दुःखी 
404,किरण,ray,प्रेम
405,किरणहरुले,kiranaharule,प्रेम
406,किल्ला,fortress,डर
407,किल्ला,fortress,सकारात्मक
408,किल्ला,fortress,दुःखी 
409,किल्ला,fortress,विश्वास
410,किल्ला,,देशभक्त
411,कुच्चो,kucco,रिस
412,कुट्ने,beat,डर
413,कुट्ने,beat,नकारात्मक
414,कुर,Curr,दुःखी 
415,कुराकानी,communication,विश्वास
416,कुरेको,waited,आशा
417,कुलोमा,coloma,विश्वास
418,कुंवा,bachelor,डर
419,कुवाको,contaminated,घृणा
420,कुवाको,contaminated,डर
421,कुवाको,contaminated,नकारात्मक
422,कुवाको,contaminated,दुःखी 
423,कुहिरो,fog,नकारात्मक
424,कुहिरो,Fog,दुःखी 
425,कृष्ण,krishna,आशा
426,केटालाई,boy,घृणा
427,केटालाई,boy,नकारात्मक
428,केटीलाई,girl,प्रेम
429,केटोलाई,boy,घृणा
430,केटोलाई,boy,नकारात्मक
431,केबल,cable,आश्चर्य
432,केसमा,cache,प्रेम
433,कोइली,coile,सकारात्मक
434,कोइली,coile,प्रेम
435,कोइली,coile,हर्ष
436,कोपिलाहरु,kopilaharu,प्रेम
437,कोरिएको,scratchy,दुःखी 
438,कोरिएको,,प्रेम
439,कोरीबाटी,grooming,सकारात्मक
440,कोशिस,try,सकारात्मक
441,कोशीस,pinnacle,सकारात्मक
442,कोसी,kosi,देशभक्त
443,क्रुर,violent,रिस
444,क्रुर,violent,घृणा
445,क्रुर,violent,डर
446,क्रुर,violent,नकारात्मक
447,क्रुर,violent,आश्चर्य
448,क्रूसको,cross,रिस
449,क्रूसको,cross,डर
450,क्रूसको,cross,नकारात्मक
451,क्रूसको,cross,दुःखी 
452,क्षनहरु,ksanaharu,हर्ष
453,क्षनहरु,,दुःखी 
454,क्षनहरु,,रिस
455,क्षनहरु,,घृणा
456,क्षनहरु,,प्रेम
457,क्षितिजमा,horizon,आशा
458,क्षितिजमा,horizon,सकारात्मक
459,खटन,khatana,देशभक्त
460,खसे,fell,नकारात्मक
461,खसे,fell,दुःखी 
462,खस्ने,fall,नकारात्मक
463,खस्ने,fall,दुःखी 
464,खाइलाग्दो,a handsome,सकारात्मक
465,खाए,eat,सकारात्मक
466,खाएँ,eat,सकारात्मक
467,खाँचो,need,नकारात्मक
468,खान,khan,डर
469,खान,khan,विश्वास
470,खानको,food,हर्ष
471,खानको,food,सकारात्मक
472,खानको,food,विश्वास
473,खानी,mines,सकारात्मक
474,खानु,eat,सकारात्मक
475,खान्छु,eat,सकारात्मक
476,खान्छौ,eat,सकारात्मक
477,खाली,empty,दुःखी 
478,खुलेन,reopen,नकारात्मक
479,खुल्यो,opened,सकारात्मक
480,खुशि,birmingham,हर्ष
481,खुशि,,प्रेम
482,खुशि,,सकारात्मक
483,खुशी,happiness,आशा
484,हर्ष,happiness,हर्ष
485,खुशी,happiness,सकारात्मक
486,खुशीको,good,आशा
487,हर्षको,good,हर्ष
488,खुशीको,good,सकारात्मक
489,खुशीको,good,आश्चर्य
490,खुशीको,good,विश्वास
491,हर्षलाई,teens,हर्ष
492,खुशीलाई,teens,सकारात्मक
493,खुसि,happy to,हर्ष
494,खुसी,happy,आशा
495,खुसी,happy,हर्ष
496,खुसी,happy,सकारात्मक
497,खुसी,happy,विश्वास
498,खुसीहरु,khusiharu,हर्ष
499,खेतलाई,field,सकारात्मक
500,खेल,sports,सकारात्मक
501,खेल,sports,नकारात्मक
502,खेल,sports,प्रेम
503,खेलमा,games,विश्वास
504,खेलेको,played,हर्ष
505,खेल्ने,playing,हर्ष
506,खैनी,snuff,नकारात्मक
507,खोज्छु,i try to,सकारात्मक
508,खोज्छौ,seek,आशा
509,खोज्दै,searching,विश्वास
510,खोपेर,graven,नकारात्मक
511,खोला,opened,देशभक्त
512,खोली,cover,विश्वास
513,खोस्दिन,khosdina,दुःखी 
514,खोस्दिन,khosdina,डर
515,ख्रीष्ट,christ,देशभक्त
516,गइदिन्छु,gaidinchu,दुःखी 
517,गगन,sky,सकारात्मक
518,गड्यांगगुडुंग,gadyangagudunga,डर
519,गड्यांगगुडुंग,gadyangagudunga,आश्चर्य
520,गड्यांगगुडुंग,gadyangagudunga,प्रेम
521,गड्यांगगुडुंग,gadyangagudunga,दुःखी 
522,गण्डकी,gandaki,देशभक्त
523,गण्डकीको,gandaki,देशभक्त
524,गति,motion,आशा
525,गती,speed,आशा
526,गती,speed,आशा
527,गन्न,count,सकारात्मक
528,गन्न,count,विश्वास
529,गफै,gaphai,नकारात्मक
530,गम्केर,swag,रिस
531,गम्भीर,serious,डर
532,गयो,on,दुःखी 
533,गयौ,,दुःखी 
534,गयौ,you go,आशा
535,गरिब,the poor,दुःखी 
536,गरीब,the poor,दुःखी 
537,गरु,cumbrous,सकारात्मक
538,गरू,Zion,देशभक्त
539,गर्ब,gharb,देशभक्त
540,गर्र्छौ,quietly,सकारात्मक
541,गर्व,glory,आशा
542,गर्व,glory,हर्ष
543,गर्व,glory,सकारात्मक
544,गर्व,glory,विश्वास
545,गलहत्त्याउने,galahattyaune,नकारात्मक
546,गलहत्त्याउने,,रिस
547,गल्ति,accidentally,आश्चर्य
548,गल्ती,wrong,नकारात्मक
549,गहभित्र,gahabhitra,दुःखी 
550,गहराई,depth,सकारात्मक
551,गहराई,depth,विश्वास
552,गहिराइमा,depth,सकारात्मक
553,गहिराइमा,depth,विश्वास
554,गहिरिएको,deeper,दुःखी 
555,गह्रो,"hard,",दुःखी 
556,गाइरने,gairane,हर्ष
557,गाई,cow,देशभक्त
558,गाउँघर,homes,हर्ष
559,गाउँघरको,homes,देशभक्त
560,गाउँछ,sings,सकारात्मक
561,गाउँछ,,हर्ष
562,गाउछु,gauchu,हर्ष
563,गाउँछु,thanks,हर्ष
564,गाउँदै,singing,हर्ष
565,गाउँदै,singing,प्रेम
566,गाउने,singing,सकारात्मक
567,गाजल,eyeliners,प्रेम
568,गाजलु,gajalu,प्रेम
569,गाठो,tie,प्रेम
570,गाढा,dark,दुःखी 
571,गार्‍हो,difficult,डर
572,गार्हो,difficult,डर
573,गाली,abuse,रिस
574,गाली,abuse,घृणा
575,गाली,abuse,डर
576,गाली,abuse,नकारात्मक
577,गाली,abuse,दुःखी 
578,गाँसिएको,linked to,प्रेम
579,गाँस्ने,forming,आशा
580,गाँस्ने,forming,प्रेम
581,गाह्रो,difficult,डर
582,गित,progress,आशा
583,गित,progress,हर्ष
584,गित,progress,सकारात्मक
585,गुञ्जन,hark,सकारात्मक
586,गुन,formula,सकारात्मक
587,गुन,formula,विश्वास
588,गुनगुनाएर,undertone,सकारात्मक
589,गुनगुनाएर,undertone,हर्ष
590,गुन्जिने,gunjine,प्रेम
591,गुम्न,loss,रिस
592,गुम्न,loss,डर
593,गुम्न,loss,नकारात्मक
594,गुम्न,loss,दुःखी 
595,गुरासँ,gurasam,देशभक्त
596,गुराँस,rhododendrons,प्रेम
597,गुँरास,Rhododendron,प्रेम
598,गुँरास,Rhododendron,देशभक्त
599,गुराँसै,guramsai,देशभक्त
600,गुलियो,sweet,आशा
601,गुलियो,sweet,हर्ष
602,गुलियो,sweet,सकारात्मक
603,गुलियो,sweet,आश्चर्य
604,गुलियो,sweet,विश्वास
605,गैदियो,gaidiyo,दुःखी 
606,गोड,god,आशा
607,गोडेर,neat,सकारात्मक
608,गोदावरी,godavari,सकारात्मक
609,गोरी,white,आशा
610,गोरी,white,हर्ष
611,गोरी,white,सकारात्मक
612,गोरी,white,विश्वास
613,गोरो,goro,सकारात्मक
614,गोर्खाल,gorkhala,देशभक्त
615,गोर्खाली,gurkha,देशभक्त
616,गोर्खे,telly,देशभक्त
617,गोलिले,golile,दुःखी 
618,गोलीले,bullets,नकारात्मक
619,घटाउ,minus,नकारात्मक
620,घटी,decreased,नकारात्मक
621,घटे,reduced,नकारात्मक
622,घट्यो,decreased,नकारात्मक
623,घन्काइदिउला,ghankaidiula,हर्ष
624,घर,house,देशभक्त
625,घर,house,देशभक्त
626,घरले,house,प्रेम
627,घरसंसार,my home,प्रेम
628,घरिघरि,rising,आशा
629,घरिघरि,rising,हर्ष
630,घरिघरि,rising,सकारात्मक
631,घरी,weary,नकारात्मक
632,घरी,weary,दुःखी 
633,घाउ,wound,रिस
634,घाउ,wound,डर
635,घाउ,wound,नकारात्मक
636,घाउ,wound,दुःखी 
637,घाउ,wound,रिस
638,घाउ,wound,डर
639,घाउ,wound,नकारात्मक
640,घाउ,wound,दुःखी 
641,घाउलाई,wounds,दुःखी 
642,घाउलाई,wounds,प्रेम
643,घाटको,to appear before,दुःखी 
644,घात,ambush,रिस
645,घात,ambush,डर
646,घात,ambush,नकारात्मक
647,घात,ambush,आश्चर्य
648,घातहरु,keystrokes,दुःखी 
649,घातहरु,,रिस
650,घातहरु,,नकारात्मक
651,घाम,heat,हर्ष
652,घाँमको,ghammako,हर्ष
653,घाँमको,ghammako,सकारात्मक
654,घामपानी,exposure,हर्ष
655,घामपानी,exposure,दुःखी 
656,घामपानीले,ghamapanile,सकारात्मक
657,घुमाउन,rotate,हर्ष
658,घुम्टो,veil,प्रेम
659,घुम्न,turn,सकारात्मक
660,घेरमा,doubting,नकारात्मक
661,चड्न,cadna,आशा
662,चढाइ,climbing,सकारात्मक
663,चढाइ,climbing,आशा
664,चन्चले,playful,रिस
665,चन्चले,playful,हर्ष
666,चन्चले,playful,सकारात्मक
667,चन्चले,playful,आश्चर्य
668,चन्द्रगिरि,candragiri,प्रेम
669,चन्द्रमा,moon,देशभक्त
670,चमेली,jasmine,हर्ष
671,चम्किलो,bright,हर्ष
672,चम्के,glory,हर्ष
673,चम्के,glory,सकारात्मक
674,चम्के,glory,विश्वास
675,चर्कन्छ,inability to,दुःखी 
676,चर्केको,cleft,नकारात्मक
677,चलेर,gUIDE,सकारात्मक
678,चलेर,gUIDE,विश्वास
679,चल्दैन,run,नकारात्मक
680,चाडै,sale,सकारात्मक
681,चाँडै,"soon,",आशा
682,चाँदनी,moonlight,हर्ष
683,चाँदनी,moonlight,प्रेम
684,चाँप,pinch,नकारात्मक
685,चारैतिर,round,सकारात्मक
686,चाल,move,सकारात्मक
687,चाल,move,आशा
688,चालीस,forty,प्रेम
689,चाँहनछु,camhanachu,प्रेम
690,चाहना,want,प्रेम
691,चाहना,want,आशा
692,चाहनालाई,desire,प्रेम
693,चाँहन्छु,rapture,आशा
694,चाँहन्छु,rapture,हर्ष
695,चाँहन्छु,rapture,सकारात्मक
696,चाहिँदैन,not need,सकारात्मक
697,चाह्यौ,plead,दुःखी 
698,चिट्ठी,,प्रेम
699,चिट्ठी,letter,आशा
700,चिठ्ठी,letter,आशा
701,चित्त,mind,प्रेम
702,चित्त,mind,दुःखी 
703,चित्र,picture,सकारात्मक
704,चिनीमा,sugar,सकारात्मक
705,चिन्न,know,सकारात्मक
706,चिरायु,ageless,हर्ष
707,चिर्बिरे,cirbire,दुःखी 
708,चिर्बिरे,,प्रेम
709,चिसो,cold,नकारात्मक
710,चीन,china,देशभक्त
711,चीयाबारी,ciyabari,प्रेम
712,चुम्यो,kissing,प्रेम
713,चुम्यो,kissing,सकारात्मक
714,चुर,STEAM,दुःखी 
715,चुरा,stealing,सकारात्मक
716,चुराको,steal,रिस
717,चुराको,steal,डर
718,चुराको,steal,नकारात्मक
719,चुराको,steal,दुःखी 
720,चुरोट,cigarette,नकारात्मक
721,चुल्बुले,culbule,हर्ष
722,चोखो,clean,हर्ष
723,चोखो,clean,सकारात्मक
724,चोखो,clean,विश्वास
725,चोट,injury,रिस
726,चोट,injury,डर
727,चोट,injury,नकारात्मक
728,चोट,injury,दुःखी 
729,चोटहरु,injuries,दुःखी 
730,चोटहरु,injuries,प्रेम
731,चोटि,time,आशा
732,चोटी,top,आशा
733,चोटी,top,सकारात्मक
734,चोटी,top,विश्वास
735,चोर,thief,रिस
736,चोर,thief,घृणा
737,चोर,thief,डर
738,चोर,thief,नकारात्मक
739,चोर,thief,दुःखी 
740,चोर,thief,आश्चर्य
741,चोली,brassiere,देशभक्त
742,चौतारी,chautari,सकारात्मक
743,चौबन्दी,caubandi,देशभक्त
744,छदा,distraught,नकारात्मक
745,छदा,distraught,दुःखी 
746,छमछम,chamachama,हर्ष
747,छर,sow,हर्ष
748,छली,insidious,रिस
749,छली,insidious,घृणा
750,छली,insidious,डर
751,छली,insidious,नकारात्मक
752,छलेको,deceit,रिस
753,छलेको,deceit,घृणा
754,छलेको,deceit,डर
755,छलेको,deceit,नकारात्मक
756,छलेको,deceit,दुःखी 
757,छलेको,deceit,आश्चर्य
758,छाइदियौ,chaidiyau,दुःखी 
759,छाडि,the pursuers,डर
760,छाडी,leave,नकारात्मक
761,छाडी,leave,दुःखी 
762,छाडी,leave,आश्चर्य
763,छाडीदेउ,chadideu,नकारात्मक
764,छाडीदेउ,,दुःखी 
765,छाड्दिन,give up,दुःखी 
766,छाड्दिन,give up,नकारात्मक
767,छाड्दिन,give up,प्रेम
768,छातीभरि,rightful,सकारात्मक
769,छातीभित्र,bowels,दुःखी 
770,छातीभित्र,,प्रेम
771,छातीमाथी,chatimathi,प्रेम
772,छाना,haunt,डर
773,छाना,haunt,नकारात्मक
774,छाया,shadow,दुःखी 
775,छाया,shadow,प्रेम
776,छायाँ,shadow,प्रेम
777,छायाँ,shadow,दुःखी 
778,छाँयाहरु,chamyaharu,दुःखी 
