lyrics,title,artist,sentiment
"लेकाली हेहे चोयाको डोको
सानु माया हेहे लगाउने धोको
नपुग्दै मर्छु पो क्यारे हे
भन सोल्टी बरोबर नढाटी
बग्यो खोला बेसी घर सम्मै
तिम्रो माया कलेजिमा टम्मै
आँखै मा गाजलु लपक्कै
भन माया लाईदिउँ की छपक्कै
बैसैमा बैसैमा मर्छु पो क्यारे
रातो चोलो पाखुरीमा टिमीक्कौ
बस्यो माया अाखैमा झिमिक्कै
के गर्नु कर्कलो बारि
पर्ख तिमिलाई रोइरहनै नपारि
बैसैमा बैसैमा मर्छु पो क्यारे",लेकाली,Nepathya,हर्ष 
"तिम्रो आगमनको आभाषामा बाटो भरी
धेरै धेरै गीत गाएँ
बुझाई देउ यो बहलाई दिनेछु माया तिमीलाई
 
दुलही झै सजिएर बस तिमी
बारात साथ लिई आउनेछु
स्वयम्बरको माला पहिराई
अङ्गालेर लान्छु तिमीलाई
 
ओइलाउन नदेउ है यौवनलाई
रोएर पाइदैन यो जीवन
अल्लरे त होइनौ हामी
सन्कोच लिई नबस तिमी
 
तिम्रो आगमनको आभाषामा बाटो भरी
धेरै धेरै गीत गाएँ
बुझाई देउ यो बहलाई दिनेछु माया तिमीलाई",तिम्रो आगमनको,Nepathya,प्रेम
"चरी मर्यो शिशैको गोलिले
माया बस्यो त्यो मीठो बोलीले
माया साथैमा उडायो रेलैले
 
तालको माछा कोई गन्न सक्दैन
जातै सानो मायामा हुँदैन
माया साथैमा उडायो रेलैले
 
तिम्रो माया छ कसम खाँदैन
तिमी बिना म बाँच्न सक्दिन
माया साथैमा उडायो रेलैले",उडायो रेलैले,Nepathya,प्रेम
"पर्खी बसे आउला भनि
मेरो उठने पालो
मेरो उठने पालो

कुर्दा कुर्दै जिन्दगी नै
भै गएछ कालो..कालो
भै गएछ कालो
मेरो उठने पालो

वारि पारि अँध्यारो छ आँखा खोली हेर्दा
अँध्यारो नै देखिन्छ नि आँखा चिम्ली हेर्दा

वारि पारि अँध्यारो छ आँखा खोली हेर्दा
अँध्यारो नै देखिन्छ नि आँखा चिम्ली हेर्दा

आफ्नै छाँया आफै सँग भागी हिँड्न ठाल्यो
भागी हिँड्न ठाल्यो
आफ्नै माँया आफैलाई बोझ लाग्न ठाल्यो ठाल्यो
बोझ लाग्न ठाल्यो
बोझ लाग्न ठाल्यो

तातो हाँवा बहिदिन्छ मुटु पोल्ने गरी
निराशाको दियो बल्छ तिनै जल्ने गरी
तातो हाँवा बहिदिन्छ मुटु पोल्ने गरी
निराशाको दियो बल्छ तिनै जल्ने गरी

वर्षौ भयो चलेकै छ मन भित्र यो आँधी
मन भित्र यो आँधी
बाँध्यतामा बाँच्नु पर्यो चाहनालाई बाँधी बाँधी
चाहनालाई बाँधी
चाहनालाई बाँधी

पर्खि बसे आउला भनि
मेरो उठने पालो
मेरो उठने पालो",Parkhi Basen,Narayan Gopal,दुःखी 
"मान्छेको माया यहाँ
खोलाको पानी जस्तो
किनारालाई छोई भाग्ने
लहरेको बानी जस्तो

मान्छेको माया यहाँ
आँखाको नानी जस्तो
यो रात फकाई आउने
सुन्दर विहानी जस्तो
माया त जोवनको आवेश मात्र नै हो
तिर्खाको अर्को राम्रो एक भेष मात्र नै हो
एक भेष मात्र नै हो
तिम्रो हेराईमा केबल आँखा छ मुटु छैन
तिम्रो बोलाईमा स्वर छ ढुकढकी केही छैन
मान्छेको माया यहाँ
खोलाको पानी जस्तो
किनारालाई छोई भाग्ने
लहरेको बानी जस्तो

मायाको विशालता यो आकाश धर्ती नै हो
माया त साँच्ची सुन्दर आत्माको मुर्ति नै हो
सुन्दर आत्माको मुर्ति नै हो
तिमी पानीलाई आकार दिने कोशिस नगर
तिमी हावालाई सद्भाव दिने कोशिस नगर
मान्छेको माया यहाँ आँखाको नानी जस्तो
मान्छेको माया यहाँ खोलाको पानी जस्तो
यो रात फकाई आउने सुन्दर विहानी जस्तो
किनारालाई छोई भाग्ने लहरेको बानी जस्तो",Manchhe Ko Maya Yahan,Narayan Gopal,प्रेम
"झरेको पात झैँ भयो उजाड मेरो जिन्दगी
निभेको दिप झैँ भयो उदास मेरो जिन्दगी
झरेको पात झैँ भयो उजाड मेरो जिन्दगी

चुरा फुटेसरी भयो चराहरु उडीगए
चुरा फुटेसरी भयो चराहरु उडीगए
हजार कोपिलाहरु नमुस्कुराउँदै झरे
उठेको बस्ती झैँ भयो प्रवास मेरो जिन्दगी

विहान जो हर्ष  थियो जलेर साँझ भैसक्यो
विहान जो हर्ष  थियो जलेर साँझ भैसक्यो
भिजेको पात पातमा निशादको कथा थियो
अधेँरी रात झैँ भयो विषाद मेरो जिन्दगी

जलिरहेछ लास भित्र भित्र कहिँ छातीमा
जलिरहेछ लास भित्र भित्र कहिँ छातीमा
टुटेफुटेका स्वप्न झैँ अँगारमात्र छातीमा
जिवन बजर सरी भयो उराठ मेरो जिन्दगी
निभेको दिप झैँ भयो उदास मेरो जिन्दगी
झरेको पात झैँ भयो उजाड मेरो जिन्दगी",Jhareko Paat,Narayan Gopal,दुःखी 
"जन्मेर कोखमा कसैकोजन्मेर कोखमा कसैको
हुर्कन्छ काखमा कसैको
भाग्यको लेखा कस्तो
भावीले के लेखिदियो
जन्मेर कोखमा कसैको
हुर्कन्छ काखमा कसैको
भाग्यको लेखा कस्तो
भावीले के लेखिदियो
जन्मेर कोखमा कसैको

कस्ले छोडेको कस्तो नासो हो
जिन्दगीको अनौठो नाता
को हो आफ्नो को हो विरानो
के होला यो रगतको नाता
के होला यो रगतको नाता
जन्मेर कोखमा कसैको
हुर्कन्छ काखमा कसैको
भाग्यको लेखा कस्तो
भावीले के लेखिदियो
जन्मेर कोखमा कसैको

खोजी हिँड्दछ आमाको न्यानो काख
मायालु छहारी कसैको
भाग्य सबैलाई कहाँ पुग्छ र
संसारमा विधिले लेखेको
संसारमा विधिले लेखेको
जन्मेर कोखमा कसैको
हुर्कन्छ काखमा कसैको
भाग्यको लेखा कस्तो
भावीले के लेखिदियो
जन्मेर कोखमा कसैको

कस्तो पिर यो समयले दिएको
भुलाईदेला समयले एकदिन
भुलेको सपना झस्काउँला कुनैदिन
भरिएला त्यो घाउ एकदिन
भरिएला त्यो घाउ एकदिन
जन्मेर कोखमा कसैको
हुर्कन्छ काखमा कसैको
भाग्यको लेखा कस्तो
भावीले के लेखिदियो",Janmera Kokhma,Narayan Gopal,दुःखी 
"मन्दिरमा छ कि मुर्तिमा माया
मन्दिरमा छ कि मुर्तिमा माया
पत्थरमा छ कि धुलोमा माया
कोही त देखाऊ कोही त बताऊ
खै कहाँ छ कहाँ
कहाँ छ माया
खै कहाँ छ कहाँ
कहाँ छ माया
मन्दिरमा छ कि मुर्तिमा माया

एक अन्जुली मायाको लािग
पलपल हृदय चर्कन्छ
एक अन्जुली मायाको लािग
पलपल हृदय चर्कन्छ
साउन र भदौ बनेर आँखा
साउन र भदौ बनेर आँखा
बर्षौ बर्ष बस्रन्छ
बर्षौ बर्ष बस्रन्छ

हाँसोमा छ कि आँशुमा माया
फुलमा छ कि काँडामा माया
कोही त देखाऊ कोही त बताऊ
खै कहाँ छ कहाँ
कहाँ छ माया
खै कहाँ छ कहाँ
कहाँ छ माया
मन्दिरमा छ कि मुर्तिमा माया

एउटी आमा जिउँदै जल्छे
छोराको मायाममतामा
एउटी आमा जिउँदै जल्छे
छोराको मायाममतामा
एउटा छोरो मरेर बाँच्छ
एउटा छोरो मरेर बाँच्छ
आमाको सपना विपनामा
आमाको सपना विपनामा
रगतमा छ कि नातामा माया
विस्वासमा छ कि बाचामा माया
कोही त देखाऊ कोही त बताऊ
खै कहाँ छ कहाँ
कहाँ छ माया
खै कहाँ छ कहाँ
कहाँ छ माया
मन्दिरमा छ कि मुर्तिमा माया",Mandir Ma Chha Ki Murti Ma Maya,Narayan Gopal,दुःखी 
"श्रद्धाको फूल चढाई दिनु आएर लाशमा 
नपाएको फूल भैगयौ तिमी रोइ दिनु आशमा 
सम्झन्छु म तिमीले छोएको कमल हातले 
संगाली राख माया यो मेरो नहान लातले 
दिनेछ सबै गुहाई हाम्रो जुनेली रातले 
नपाएको फूल भै गयौ तिमी रोइ दिनु आशमा 
मरेर के भो देह यो मेरो आत्मा त मर्दैन 
पिरती चोखो लाएको भए बन्धन पर्दैन 
प्रकृति फूल ओइली झर्छ दिलको झर्दैन 
नपाएको फूल भै गयौ तिमी रोइ दिनु आशमा 
श्रद्धाको फूल चढाई दिनु आएर लाशमा",Shradhdha ko phool,Narayan Gopal,दुःखी 
"झर्यो जिन्दगी फुट्यो जिन्दगी
छल्केर आँखामा बल्यो जिन्दगी
झर् यो जिन्दगी फुट्यो जिन्दगी
छल्केर आँखामा बल्यो जिन्दगी
झर्यो जिन्दगी फुट्यो जिन्दगी
काँडामा हाँसेको मिठो जिन्दगी
सपनीमा नाचेको झुटो जिन्दगी
काँडामा हाँसेको मिठो जिन्दगी
सपनीमा नाचेको झुटो जिन्दगी
गहराको दहमा डुब्यो जिन्दगी
झर्यो जिन्दगी फुट्यो जिन्दगी
पिरले भरेको खाली जिन्दगी
विरहीले रुवाएको प्यारो जिन्दगी
पिरले भरेको खाली जिन्दगी
विरहीले रुवाएको प्यारो जिन्दगी
आज आफ्नै छातीमा दुख्यो जिन्दगी
झर्यो जिन्दगी फुट्यो जिन्दगी
छल्केर आँखामा बल्यो जिन्दगी
झर्यो जिन्दगी फुट्यो जिन्दगी",Jharyo Jindagi,Narayan Gopal,दुःखी 
"(यती धेरै माया दीइ
मन भरी दुख नदेउ) २
बाटो वर पर फुल्ने
पलास टिपी सिरमा नलाउ
यती धेरै माया दीइ
 
(जो भाज्ञ्यमा कोरिएका
सुख दुख स्विकार्छन) २
केही तिता पल
केहि मिठा पल
सबै सबै स्विकार्छन
ई हातहरु प्रसस्त छन
भो सान्त्वना मलाई नदेउ
यती धेरै माया दीइ
 
(यो बाटोमा कती काँडा
कती फुल टिपी हिँडे) २
कती पराई आफ्ना देखे
कती आफ्ना पराई भेटे
यो जिन्दगीको मोडमा
भो साहरा मलाई नदेउ
 
(यती धेरै माया दीइ
मन भरी दुख नदेउ) २
बाटो वर पर फुल्ने
पलास टिपी सिरमा नलाउ
यती धेरै माया दीइ",यती धेरै माया,Narayan Gopal,हर्ष
"अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा
बल्झेछ क्यारे सिमलको काँडा कलिलो खुट्टामा
अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा
 
आउँथ्यो कि चेली भनेर आमा दोबाटो धाई की
तीजमा पनि बिर्सिछ क्यारे गरिब माईती
सल्ला झैं आमा... सुसाई रहिन् एक्लै कोठामा
अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा
 
छोरीलाई आषिस थाप्न पाईन अन्तिम कालैमा
भन्थेनी बाबाले आँशु झारी टिकाको थालीमा
त्यहि आँशु टिका... पठाईदिऊँ कि सालको पातमा
अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा
 
भन्थेनी दाईले भाईटिकामा बहिनी फर्केला
क्षितिजमा जस्तै निधारमा हाम्रो इन्द्रेणी लर्केला
दिनभरी काग... कराई रह्यो बेलको ठुटामा
 
अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा
बल्झेछ क्यारे सिमलको काँडा कलिलो खुट्टामा
अल्झेछ क्यारे पछ्यौरी तिम्रो चियाको बुटामा",अल्झेछ क्यारे पछ्यौरी,Narayan Gopal,दुःखी 
"(आँखा छोपी नरोउ भनि भन्नुपर्‍याछ
मुटुमाथि ढुंगा राखि हाँस्नुपर्‍याछ ) x2
 
(भोली उठी कहाँ जाने केही थाहा छैन
फर्कि आउने हो कि होईन केही थाहा छैन) x2
वाचा छिटै आउछु भनि गर्नुपर्‍याछ
मुटुमाथि ढुंगा राखि हाँस्नुपर्‍याछ
 
(छातीभरि गाँउ-बेशी पखेरीको छाँया
आखाँभरि मेलापात मायालुको माया) x2
आफैलाई छाडी कतै जानुपर्‍याछ
मुटुमाथि ढुंगा राखि हाँस्नुपर्‍याछ
 
(भन्ने कुरा कति थियो छाती भित्रै रह्यो
परेलीका ओठबाट आँशु झरी रह्यो) x2
कुलचिएर आफैलाई हिड्नुपर्‍याछ
मुटुमाथि ढुंगा राखि हाँस्नुपर्‍याछ",आँखा छोपी नरोउ भनी,Narayan Gopal,दुःखी 
"(जून फूल मैले चाहेको थिएँ कसैले टिपेछ
सौन्द्रय बनि त्यो सधै मेरो आँखामा लुकेछ) २
 
(सुख र दुख संगाली दिने जीवनमा त्यै थियो) २
दिन रात अब म देखि टाढा भएर गैदियो
बिरानो बनि प्रत्येक पल मेरो यो म्य्टु धड्किन्छ
बितेका तिनै पुराना कुरक् सम्झाई तड्पिन्छ
 
(बाँचि नै रह्यो केबल चाहि मुटुमा चोट पारी) २
त्यो मेरो थियो स्नेहको दियो मनको हितकारी
चर्केको माया जोडिदिने फेरि बस्तु नै के छ र
मनमा रहे बिरह ब्यथा भन्नु नै के छ र
जून फूल मैले चाहेको थिएँ....",जुन फुल मैले,Narayan Gopal,दुःखी 
"म त लालिगुराँस भएछु
बनै भरि फूली दिन्छु
मनै भरि फूली दिन्छु
 
फाँटहरुले कस्लाई पुग्छ, भिरमा पनि﻿ फूली दिन्छु
हर्ष  मात्र कहाँ हुन्छ, पिरमा पनि फूली दिन्छु
 
म त लालि गुराँस भएछु
बनै भरि फूली दिन्छु
मनै भरि फूली दिन्छु
 
हेरी दिने कोही भैदिए, नानी भित्र फूली दिन्छु
लाइ दिने कोही भैदिए, सिउदो भरि फूली दिन्छु
 
म त लालि गुराँस भएछु
बनै भरि फूली दिन्छु
मनै भरि फूली दिन्छु",म त लालि गुराँस भएछु,Narayan Gopal,हर्ष
"मैले पुण्य मनपराएँ, या पाप मनपराएँ
जे होस् मैले तिमीलाई, चुपचाप मनपराएँ
 
जब फुल र काँडा दुइटा, सँगै रमाउन सक्छ
जब दागको रंगमा पनि, टिका समाउन सक्छ
नसोध मैले बरदान, या श्राप मन पराएँ
जे होस् मैले तिमीलाई, चुपचाप मनपराएँ
 
तिमीसँग लिनुपनि छ, तिमीलाई दिनुपनि छ
हाम्रो हिसाब किताबमा, सच्याउनु पनि छ
यो हिसाब भुलेर तिमीलाई, बेहिसाब मनपराएँ
जे होस् मैले तिमीलाई, चुपचाप मनपराएँ
जे होस् मैले तिमीलाई, चुपचाप मनपराएँ",मैले पुण्य मन पराएँ,Narayan Gopal,प्रेम
"मलाई माफ गरिदेउ मेरा लोभी नजर
कहीं कसैमा डुबेछ भने
म त खोजीरहेछु हरेक चेहेरामा
मेरी सपनाकि एक प्रियसी मायालु
 
उ आँउछे सधैं म निदाएको बेला
अनि बस्छे मेरो छातीमा
उ साट्छे सधैं मेरा पिरहरुसित
उसका मिठा मिठा भावना
मलाई माफ गरिदेउ मेरो प्रेमको कुरा
कही कसैलाई बिझेछ भने
म त खोजीरहेछु हरेक चेहेरामा
मेरी सपनाकि एक प्रियसी मायालु
 
उसको आँखा र ओठ मेरो रोदीघर हो
उसको छाती मेरो बास हो
उसको आँशु बर्षा उसको सुस्केरा शिशीर
उसको मुस्कान मेरो मधुमास
मलाई माफ गरिदेउ मैले मृगतृष्णा
कहीं कसैमा देखेछु भने
म त खोजीरहेछु हरेक चेहेरामा
मेरी सपनाकी एक प्रियसी मायालु",मलाई माफ गरिदेउ,Narayan Gopal,प्रेम
"मेरो गीत मेरै प्रतिविम्व हैन
जो टूटी जाने हैन जो टूटी जाने हैन
आकाश जस्तो अमर गीत मेरा
म जस्तो दुइ दिनको पाहुना हैन
 
केहि गुनगुनाउछु धेरै शान्ति पाउँछु
त्यहि शान्ति बाँड्न यहाँ गीत सुनाउछु
म ल्याउछु सागरबाट अन्जुलिमा पानी
एक एक बुन्दले सबको प्यास मेट्न खोज्छु
सबैलाई रिझाउने मेरो रीत हैन
तिमीले नसुन्दैमा गीत मर्ने हैन
आकाश जस्तो अमर गीत मेरा
म जस्तो दुइ दिनको पाहुना हैन
 
गीत चोरि ल्याएँ सागरबाट
आकाशको निलो गहिराइबाट
सुनी हेरे सबमा गीतको मुहान छ
यहाँ जिउंदोलाई सास फेर्न जहितहि हावा छ
मेरो गीत भन्ने अधिकार छैन
गीतको पो म हुं मेरो गीत हैन
आकाश जस्तो अमर गीत मेरा
म जस्तो दुइ दिनको पाहुना हैन
मेरो गीत मेरै प्रतिविम्व हैन",मेरो गीत मेरै प्रतिविम्व हैन,Narayan Gopal,दुःखी 
"प्रियसीका यादहरु कोरिएको मुटु
एकान्तमा आज यहाँ फुकाएर हेरें
पिरतीका घातहरु भरिएको मुटु
रसिएका दुई आँखालाई सुकाएर हेरें
प्रियसीका यादहरु
 
जीवन यहाँ जताततै अंगालेको कथा जस्तै
यहाँ मुटु चारैतिर भंगालेको व्यथा जस्तै
आफ्नै पाइला आफ्नै बाटो संगालेको जेथा जस्तै
प्रियसीका यादहरु
 
सम्झनाका छाँयाहरु छाती भरि धुंवा जस्तै
तिर्खाएको पानीलाई नमेटिने कुंवा जस्तै
वास खोज्दै उडी हिड्ने सिमलको भुवा जस्तै
प्रियसीका यादहरु कोरिएको मुटु
एकान्तमा आज यहाँ फुकाएर हेरें
प्रियसीका यादहरु",प्रियसीका यादहरु,Narayan Gopal,दुःखी 
"सधैँ नै म हाँसे तिमीलाई रुवाई,
आज सारा खुसी म दिन तयार छु
तिम्रा पिरहरू ती केही मेटिएला,
जुनीभरको लागि म लिन तयार छु
सधैँ नै म हाँसे तिमीलाई रुवाई,
आज सारा खुसी म दिन तयार छु
 
कहाँ मेरो भाग्य तिमीलाई पाउने,
कहाँ मेरो भाग्य तिमीलाई पाउने,
तर बाँचुन्जेल यहाँ घात गर्ने छैन
तिमी हाँसिदेऊ यो आँट नै लिएर
कुनैदिन म तिम्रो साथ छोड्ने छैन
सधैँ नै म हाँसे तिमीलाई रुवाई,
आज सारा खुसी म दिन तयार छु
 
कहाँ मेरो हक छ तिमीलाई टिठ्याउने,
कहाँ मेरो हक छ तिमीलाई टिठ्याउने,
तर मृत्युसम्म गलहत्त्याउने छैन
तिमी बाँचिदेउ तिमी नै भएर
अरु धेर मलाई केही चाहिँदैन
 
सधैँ नै म हाँसे तिमीलाई रुवाई,
आज सारा खुसी म दिन तयार छु
तिम्रा पिरहरू ती केही मेटिएला,
जुनीभरको लागि म लिन तयार छु
सधैँ नै म हाँसे तिमीलाई रुवाई,
आज सारा खुसी म दिन तयार छु",सधै नै म हासे,Narayan Gopal,प्रेम
